,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_0.25-0,0.12100481986999512,0.0,581,581.0,0,673,integer optimal solution
30_0.25_0.25-1,0.14830589294433594,0.0,484,484.0,0,717,integer optimal solution
30_0.25_0.25-2,0.13159990310668945,0.0,508,508.0,0,812,integer optimal solution
30_0.25_0.25-3,0.11690092086791992,0.0,409,409.0,0,745,integer optimal solution
30_0.25_0.25-4,0.1262209415435791,0.0,433,433.0,0,622,integer optimal solution
30_0.25_0.5-0,0.5011420249938965,0.0,625,625.0,1127,27126,integer optimal solution
30_0.25_0.5-1,0.18280696868896484,0.0,488,488.0,0,705,integer optimal solution
30_0.25_0.5-2,0.11641907691955566,0.0,353,353.0,0,635,integer optimal solution
30_0.25_0.5-3,0.1330890655517578,0.0,592,592.0,0,667,integer optimal solution
30_0.25_0.5-4,0.17077112197875977,0.0,394,394.0,0,737,integer optimal solution
30_0.25_0.75-0,0.10710906982421875,0.0,345,345.0,0,485,integer optimal solution
30_0.25_0.75-1,,,,,,,
30_0.25_0.75-2,0.16957783699035645,0.0,536,536.0,0,625,integer optimal solution
30_0.25_0.75-3,0.1291959285736084,0.0,463,463.0,0,537,integer optimal solution
30_0.25_0.75-4,,,,,,,
30_0.5_0.25-0,0.4924349784851074,0.0,332,332.0,0,1678,integer optimal solution
30_0.5_0.25-1,0.42342400550842285,0.0,473,473.0,0,1324,integer optimal solution
30_0.5_0.25-2,0.6020371913909912,0.0,278,278.0,0,1860,integer optimal solution
30_0.5_0.25-3,0.5576820373535156,0.0,254,254.0,274,12025,integer optimal solution
30_0.5_0.25-4,0.9207160472869873,0.0,441,441.0,871,33907,integer optimal solution
30_0.5_0.5-0,0.35754895210266113,0.0,495,495.0,0,1956,integer optimal solution
30_0.5_0.5-1,0.36490297317504883,0.0,312,312.0,0,1196,integer optimal solution
30_0.5_0.5-2,0.22854995727539062,0.0,413,413.0,0,1157,integer optimal solution
30_0.5_0.5-3,0.3805510997772217,0.0,402,402.0,0,1587,integer optimal solution
30_0.5_0.5-4,1.9082410335540771,0.0,406,406.0,3620,131253,integer optimal solution
30_0.5_0.75-0,,,,,,,
30_0.5_0.75-1,0.25704503059387207,0.0,382,382.0,0,1232,integer optimal solution
30_0.5_0.75-2,0.45441484451293945,0.0,367,367.0,0,1437,integer optimal solution
30_0.5_0.75-3,1.0916130542755127,0.0,464,464.0,1354,24927,integer optimal solution
30_0.5_0.75-4,1.3789310455322266,0.0,430,430.0,1467,37864,integer optimal solution
30_0.75_0.25-0,1.447113037109375,0.0,303,303.0,1139,57203,integer optimal solution
30_0.75_0.25-1,1.2333309650421143,0.0,309,309.0,1125,44746,integer optimal solution
30_0.75_0.25-2,2.699949026107788,0.0,381,381.0,2599,154090,integer optimal solution
30_0.75_0.25-3,1.7910189628601074,0.0,348,348.0,833,58935,integer optimal solution
30_0.75_0.25-4,3.148508071899414,0.0,372,372.0,3442,129312,integer optimal solution
30_0.75_0.5-0,6.791548013687134,0.0,480,480.0,7846,220353,integer optimal solution
30_0.75_0.5-1,0.9565808773040771,0.0,453,453.0,0,2804,integer optimal solution
30_0.75_0.5-2,11.211003065109253,0.0,445,445.0,6326,223201,integer optimal solution
30_0.75_0.5-3,1.2604310512542725,0.0,350,350.0,0,2442,integer optimal solution
30_0.75_0.5-4,2.3952839374542236,0.0,464,464.00000000000006,2100,62338,integer optimal solution
30_0.75_0.75-0,7.458400011062622,0.0,427,427.0,5742,148720,integer optimal solution
30_0.75_0.75-1,3.817401885986328,0.0,465,465.0,4910,119223,integer optimal solution
30_0.75_0.75-2,0.8573651313781738,0.0,556,556.0,0,2310,integer optimal solution
30_0.75_0.75-3,1.8801710605621338,0.0,440,440.0,3809,74057,integer optimal solution
30_0.75_0.75-4,0.3670802116394043,0.0,429,429.0,0,1187,integer optimal solution
60_0.25_0.25-0,33.87887787818909,0.0,787,787.0,15698,937167,integer optimal solution
60_0.25_0.25-1,23.473567008972168,0.0,861,861.0,8023,726177,integer optimal solution
60_0.25_0.25-2,46.23326301574707,0.0,847,847.0,13111,1138548,integer optimal solution
60_0.25_0.25-3,41.72248697280884,0.0,870,870.0,14325,1024472,integer optimal solution
60_0.25_0.25-4,22.787405014038086,0.0,667,667.0,5597,589244,integer optimal solution
60_0.25_0.5-0,5.927448034286499,0.0,1003,1003.0,4803,186055,integer optimal solution
60_0.25_0.5-1,6.574781179428101,0.0,907,907.0,4790,215160,integer optimal solution
60_0.25_0.5-2,,,,,,,
60_0.25_0.5-3,44.348361015319824,0.0,994,994.0,18110,860813,integer optimal solution
60_0.25_0.5-4,6.892894983291626,0.0,1255,1255.0,4640,107137,integer optimal solution
60_0.25_0.75-0,0.9045488834381104,0.0,1199,1199.0,0,2110,integer optimal solution
60_0.25_0.75-1,0.6473350524902344,0.0,1074,1074.0,0,1617,integer optimal solution
60_0.25_0.75-2,,,,,,,
60_0.25_0.75-3,5.737569093704224,0.0,1274,1274.0,5690,199218,integer optimal solution
60_0.25_0.75-4,,,,,,,
60_0.5_0.25-0,401.2289650440216,0.0,647,647.0,27117,4652987,integer optimal solution
60_0.5_0.25-1,70.34827303886414,0.0,530,530.0,6299,786433,integer optimal solution
60_0.5_0.25-2,551.2998960018158,0.0,846,846.0,69273,5302740,integer optimal solution
60_0.5_0.25-3,1150.0225689411163,0.0,824,824.0,108488,7955594,integer optimal solution
60_0.5_0.25-4,1475.2599568367004,0.0,715,715.0,79930,17105821,integer optimal solution
60_0.5_0.5-0,393.69942808151245,0.0,807,807.0,60484,5603423,integer optimal solution
60_0.5_0.5-1,85.04621911048889,0.0,799,799.0,19374,1921855,integer optimal solution
60_0.5_0.5-2,301.83294796943665,0.0,695,695.0,77727,2932015,integer optimal solution
60_0.5_0.5-3,92.11059904098511,0.0,783,783.0,16627,1135433,integer optimal solution
60_0.5_0.5-4,,,,,,,
60_0.5_0.75-0,,,,,,,
60_0.5_0.75-1,9.415379047393799,0.0,1171,1171.0,3365,70512,integer optimal solution
60_0.5_0.75-2,9.263608932495117,0.0,914,914.0,2925,75253,integer optimal solution
60_0.5_0.75-3,612.9073941707611,0.0,767,767.0,80607,5343129,integer optimal solution
60_0.5_0.75-4,25.65199589729309,0.0,909,909.0,6454,332575,integer optimal solution
60_0.75_0.25-0,2321.5697939395905,0.0,708,708.0,134567,10384339,integer optimal solution
60_0.75_0.25-1,7200.189376115799,1.7856659272751745,660,648.2146048799821,204481,22632864,time limit exceeded
60_0.75_0.25-2,345.7752411365509,0.0,811,811.0,43371,3020862,integer optimal solution
60_0.75_0.25-3,3771.5890231132507,0.0,665,665.0,140494,29867571,integer optimal solution
60_0.75_0.25-4,7200.0229279994965,5.396338394148999,837,791.8326476409675,268256,38713147,time limit exceeded
60_0.75_0.5-0,1843.8299770355225,0.0,976,976.0,201079,11922987,integer optimal solution
60_0.75_0.5-1,1808.3651728630066,0.0,956,956.0,133882,6611920,integer optimal solution
60_0.75_0.5-2,1319.5634310245514,0.0,856,856.0,80355,9504141,integer optimal solution
60_0.75_0.5-3,,,,,,,
60_0.75_0.5-4,352.09262013435364,0.0,640,640.0,17643,1362760,integer optimal solution
60_0.75_0.75-0,318.6911070346832,0.0,1149,1149.0,27768,1057037,integer optimal solution
60_0.75_0.75-1,481.2501690387726,0.0,889,889.0,39749,2597504,integer optimal solution
60_0.75_0.75-2,187.45806694030762,0.0,1087,1087.0,14978,1289487,integer optimal solution
60_0.75_0.75-3,,,,,,,
60_0.75_0.75-4,409.71589708328247,0.0,866,866.0,34778,2483096,integer optimal solution
90_0.25_0.25-0,7200.028387069702,4.415439508469774,1622,1550.3815711726158,389302,80167286,time limit exceeded
90_0.25_0.25-1,7200.818914890289,17.007083288966633,1702,1412.539442421771,261604,37546370,time limit exceeded
90_0.25_0.25-2,549.3772971630096,0.0,1272,1272.0,49768,4667112,integer optimal solution
90_0.25_0.25-3,7200.024411916733,1.684351597350173,1258,1236.8108569053331,307776,34935993,time limit exceeded
90_0.25_0.25-4,821.3790390491486,0.0,1060,1060.0,32970,5021840,integer optimal solution
90_0.25_0.5-0,3339.503310918808,0.0,1621,1620.9999999999998,146316,12719512,integer optimal solution
90_0.25_0.5-1,7200.317040920258,3.053390710883074,1627,1577.3213331339293,193477,19795878,time limit exceeded
90_0.25_0.5-2,1312.674154996872,0.0,1755,1755.0,98933,6433045,integer optimal solution
90_0.25_0.5-3,,,,,,,
90_0.25_0.5-4,398.82860016822815,0.0,1613,1613.0,57068,3773995,integer optimal solution
90_0.25_0.75-0,205.03693008422852,0.0,1575,1575.0,19374,1663072,integer optimal solution
90_0.25_0.75-1,34.93962788581848,0.0,1677,1677.0,6913,370095,integer optimal solution
90_0.25_0.75-2,,,,,,,
90_0.25_0.75-3,3.712526798248291,0.0,1482,1482.0,3054,137733,integer optimal solution
90_0.25_0.75-4,170.6137170791626,0.0,1561,1561.0,15436,920099,integer optimal solution
90_0.5_0.25-0,7200.292651176453,7.3348731568771806,1320,1223.1796743292139,154424,34228073,time limit exceeded
90_0.5_0.25-1,7200.028450012207,26.34384816028702,1172,863.2500995614098,78250,26047620,time limit exceeded
90_0.5_0.25-2,7201.0011031627655,17.830406523731856,1182,971.2445948894716,151684,21748395,time limit exceeded
90_0.5_0.25-3,7200.023406982422,10.041001763815666,1147,1031.8297097690242,205698,59784777,time limit exceeded
90_0.5_0.25-4,7200.873283863068,5.347888080493467,861,814.9546836269459,140753,21886469,time limit exceeded
90_0.5_0.5-0,7200.0476450920105,16.439454406128313,1529,1277.6407421302813,174085,25901662,time limit exceeded
90_0.5_0.5-1,4228.9781239032745,0.0,1372,1372.0,117830,9304119,integer optimal solution
90_0.5_0.5-2,7200.078104972839,4.856132484376855,1082,1029.4566465190376,162274,25501450,time limit exceeded
90_0.5_0.5-3,3005.3365590572357,0.0,1737,1737.0,213532,27717505,integer optimal solution
90_0.5_0.5-4,7200.12642788887,26.33707313408677,1161,855.2265809132263,121908,18478820,time limit exceeded
90_0.5_0.75-0,,,,,,,
90_0.5_0.75-1,,,,,,,
90_0.5_0.75-2,,,,,,,
90_0.5_0.75-3,815.2005519866943,0.0,1401,1400.9999999999995,53557,2633925,integer optimal solution
90_0.5_0.75-4,,,,,,,
90_0.75_0.25-0,7200.027026176453,16.188289858161397,1103,924.4431628644636,149420,17304283,time limit exceeded
90_0.75_0.25-1,,,,,,,
90_0.75_0.25-2,7200.039336919785,34.80419414898091,1183,771.266383217521,53655,19483514,time limit exceeded
90_0.75_0.25-3,7200.024356126785,21.72686404106252,1130,884.4864363359718,63854,21032685,time limit exceeded
90_0.75_0.25-4,7200.79869389534,22.76364526077728,1093,844.1933572996816,83078,21033944,time limit exceeded
90_0.75_0.5-0,7200.047940969467,8.830058118043977,1152,1050.2777304801245,97688,17765730,time limit exceeded
90_0.75_0.5-1,7200.097455024719,15.471105077834709,1112,939.9613115344625,150066,28133386,time limit exceeded
90_0.75_0.5-2,7200.037659168243,25.602944326940317,1039,772.9854084430644,90401,15279551,time limit exceeded
90_0.75_0.5-3,7200.4169681072235,11.166192679598383,1436,1275.653473120956,166686,18570678,time limit exceeded
90_0.75_0.5-4,5106.346457958221,0.0,1497,1497.0,213478,19958772,integer optimal solution
90_0.75_0.75-0,,,,,,,
90_0.75_0.75-1,,,,,,,
90_0.75_0.75-2,7200.098634004593,34.49381562798187,1228,804.4159440883482,53912,12608674,time limit exceeded
90_0.75_0.75-3,6368.801964998245,0.0,1445,1445.0,188629,12633087,integer optimal solution
90_0.75_0.75-4,7200.179413080215,5.8013737764684565,1180,1111.5437894376662,204424,16520271,time limit exceeded
120_0.25_0.25-0,7200.0267651081085,27.927312990867755,1733,1249.019665868234,130891,38943250,time limit exceeded
120_0.25_0.25-1,7200.040119886398,12.350713478865789,1681,1473.3845064202537,90403,45586996,time limit exceeded
120_0.25_0.25-2,7201.019947052002,22.291780114227315,1710,1328.8105600466906,177017,24610854,time limit exceeded
120_0.25_0.25-3,7200.034910917282,30.063090581276843,1561,1091.7151560262384,146896,29672933,time limit exceeded
120_0.25_0.25-4,7200.217040061951,17.516598174474968,1457,1201.7831645978822,107816,27869915,time limit exceeded
120_0.25_0.5-0,,,,,,,
120_0.25_0.5-1,4289.255850076675,0.0,2479,2479.0,162279,23263107,integer optimal solution
120_0.25_0.5-2,7200.035638093948,23.695018487949305,2106,1606.982910643764,103574,27242268,time limit exceeded
120_0.25_0.5-3,,,,,,,
120_0.25_0.5-4,7200.42440700531,4.337597326578507,1942,1857.763859917841,173892,26722562,time limit exceeded
120_0.25_0.75-0,,,,,,,
120_0.25_0.75-1,,,,,,,
120_0.25_0.75-2,,,,,,,
120_0.25_0.75-3,7200.112340927124,17.019757720140895,2258,1873.6938706792016,106964,23403594,time limit exceeded
120_0.25_0.75-4,,,,,,,
120_0.5_0.25-0,,,,,,,
