,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.024249792098999023,0.0,485,485.0,0,139,integer optimal solution
30_0.25_2-1,0.030562877655029297,0.0,550,550.0,0,175,integer optimal solution
30_0.25_2-2,0.020727872848510742,0.0,490,490.0,0,98,integer optimal solution
30_0.25_2-3,0.06579089164733887,0.0,526,526.0,0,327,integer optimal solution
30_0.25_2-4,0.055238962173461914,0.0,510,510.0,211,1827,integer optimal solution
30_0.25_4-0,0.06212496757507324,0.0,490,490.0,0,382,integer optimal solution
30_0.25_4-1,0.009716987609863281,0.0,627,627.0,0,52,integer optimal solution
30_0.25_4-2,0.028219938278198242,0.0,501,501.0,0,189,integer optimal solution
30_0.25_4-3,0.021782875061035156,0.0,442,442.0,0,167,integer optimal solution
30_0.25_4-4,0.01834893226623535,0.0,576,576.0,0,116,integer optimal solution
30_0.25_8-0,0.0698399543762207,0.0,593,593.0,215,1573,integer optimal solution
30_0.25_8-1,0.022802114486694336,0.0,539,539.0,0,135,integer optimal solution
30_0.25_8-2,0.011520862579345703,0.0,512,512.0,0,76,integer optimal solution
30_0.25_8-3,0.03326416015625,0.0,553,553.0,0,165,integer optimal solution
30_0.25_8-4,0.03315281867980957,0.0,564,564.0,0,192,integer optimal solution
30_0.5_2-0,0.04399418830871582,0.0,419,419.0,0,245,integer optimal solution
30_0.5_2-1,0.027173995971679688,0.0,365,365.0,0,159,integer optimal solution
30_0.5_2-2,0.034446001052856445,0.0,381,381.0,0,202,integer optimal solution
30_0.5_2-3,0.10389494895935059,0.0,355,355.0,0,448,integer optimal solution
30_0.5_2-4,0.020711898803710938,0.0,420,420.0,0,192,integer optimal solution
30_0.5_4-0,0.030932903289794922,0.0,381,381.0,0,145,integer optimal solution
30_0.5_4-1,0.039016008377075195,0.0,322,322.0,0,165,integer optimal solution
30_0.5_4-2,0.01948094367980957,0.0,396,396.0,0,135,integer optimal solution
30_0.5_4-3,0.02229595184326172,0.0,421,421.0,0,113,integer optimal solution
30_0.5_4-4,0.041075944900512695,0.0,412,412.0,0,186,integer optimal solution
30_0.5_8-0,0.04137301445007324,0.0,369,369.0,0,114,integer optimal solution
30_0.5_8-1,0.018715858459472656,0.0,370,370.0,0,102,integer optimal solution
30_0.5_8-2,0.047675132751464844,0.0,354,354.0,0,146,integer optimal solution
30_0.5_8-3,0.01811814308166504,0.0,424,424.0,0,101,integer optimal solution
30_0.5_8-4,0.032666921615600586,0.0,320,320.0,0,106,integer optimal solution
30_0.75_2-0,0.09011197090148926,0.0,282,282.0,0,574,integer optimal solution
30_0.75_2-1,0.037919044494628906,0.0,310,310.0,0,281,integer optimal solution
30_0.75_2-2,0.0749201774597168,0.0,366,366.0,0,335,integer optimal solution
30_0.75_2-3,0.06684207916259766,0.0,306,306.0,0,296,integer optimal solution
30_0.75_2-4,0.03664088249206543,0.0,273,273.0,0,179,integer optimal solution
30_0.75_4-0,0.04470992088317871,0.0,320,320.0,0,171,integer optimal solution
30_0.75_4-1,0.042875051498413086,0.0,268,268.0,0,205,integer optimal solution
30_0.75_4-2,0.03459787368774414,0.0,306,306.0,0,173,integer optimal solution
30_0.75_4-3,0.033209800720214844,0.0,304,304.0,0,158,integer optimal solution
30_0.75_4-4,0.07417893409729004,0.0,339,339.0,0,248,integer optimal solution
30_0.75_8-0,0.029918909072875977,0.0,302,302.0,0,103,integer optimal solution
30_0.75_8-1,0.0801849365234375,0.0,308,308.0,0,221,integer optimal solution
30_0.75_8-2,0.06039595603942871,0.0,324,324.0,0,197,integer optimal solution
30_0.75_8-3,0.049301862716674805,0.0,250,250.0,0,185,integer optimal solution
30_0.75_8-4,0.061820030212402344,0.0,270,270.0,0,160,integer optimal solution
60_0.25_2-0,0.14717793464660645,0.0,651,651.0,0,1088,integer optimal solution
60_0.25_2-1,0.09127116203308105,0.0,778,778.0,0,581,integer optimal solution
60_0.25_2-2,0.19421696662902832,0.0,780,780.0,257,2970,integer optimal solution
60_0.25_2-3,0.1035759449005127,0.0,716,716.0,0,428,integer optimal solution
60_0.25_2-4,2.154989004135132,0.0,636,636.0,4879,62051,integer optimal solution
60_0.25_4-0,4.414853096008301,0.0,737,737.0,17432,170979,integer optimal solution
60_0.25_4-1,0.09648609161376953,0.0,700,700.0,0,267,integer optimal solution
60_0.25_4-2,0.1817331314086914,0.0,730,730.0,0,676,integer optimal solution
60_0.25_4-3,0.10337400436401367,0.0,696,696.0,0,529,integer optimal solution
60_0.25_4-4,0.0817711353302002,0.0,788,788.0,0,272,integer optimal solution
60_0.25_8-0,0.1734018325805664,0.0,754,754.0,0,552,integer optimal solution
60_0.25_8-1,0.24236416816711426,0.0,635,635.0,1027,6717,integer optimal solution
60_0.25_8-2,0.1991891860961914,0.0,722,722.0,552,3710,integer optimal solution
60_0.25_8-3,0.04314708709716797,0.0,685,685.0,0,254,integer optimal solution
60_0.25_8-4,0.0535280704498291,0.0,679,679.0,0,307,integer optimal solution
60_0.5_2-0,0.2536280155181885,0.0,499,499.0,0,895,integer optimal solution
60_0.5_2-1,0.4279789924621582,0.0,503,503.0,1115,11084,integer optimal solution
60_0.5_2-2,0.4622969627380371,0.0,500,500.0,1074,9534,integer optimal solution
60_0.5_2-3,0.45841097831726074,0.0,492,492.0,0,1045,integer optimal solution
60_0.5_2-4,0.24884891510009766,0.0,482,482.0,0,616,integer optimal solution
60_0.5_4-0,0.09402298927307129,0.0,526,526.0,0,663,integer optimal solution
60_0.5_4-1,0.0682981014251709,0.0,549,549.0,0,459,integer optimal solution
60_0.5_4-2,0.09918403625488281,0.0,459,459.0,0,399,integer optimal solution
60_0.5_4-3,0.21924185752868652,0.0,477,477.0,0,745,integer optimal solution
60_0.5_4-4,0.18125009536743164,0.0,474,474.0,0,885,integer optimal solution
60_0.5_8-0,0.0709078311920166,0.0,486,486.0,0,241,integer optimal solution
60_0.5_8-1,0.18067383766174316,0.0,476,476.0,0,495,integer optimal solution
60_0.5_8-2,0.10543608665466309,0.0,611,611.0,0,513,integer optimal solution
60_0.5_8-3,0.0885000228881836,0.0,535,535.0,0,531,integer optimal solution
60_0.5_8-4,0.35640501976013184,0.0,527,527.0,0,1278,integer optimal solution
60_0.75_2-0,0.23375487327575684,0.0,401,401.0,0,851,integer optimal solution
60_0.75_2-1,0.4383389949798584,0.0,398,398.0,513,5325,integer optimal solution
60_0.75_2-2,0.5781710147857666,0.0,336,336.0,1041,14070,integer optimal solution
60_0.75_2-3,0.18553400039672852,0.0,398,398.0,0,710,integer optimal solution
60_0.75_2-4,0.3129291534423828,0.0,429,429.0,177,2377,integer optimal solution
60_0.75_4-0,0.3983490467071533,0.0,435,435.0,395,4368,integer optimal solution
60_0.75_4-1,0.341202974319458,0.0,431,431.0,0,1047,integer optimal solution
60_0.75_4-2,0.6549749374389648,0.0,356,356.0,4417,38655,integer optimal solution
60_0.75_4-3,0.44951701164245605,0.0,428,428.0,3259,26974,integer optimal solution
60_0.75_4-4,1.612065076828003,0.0,363,363.0,3218,31285,integer optimal solution
60_0.75_8-0,0.27236080169677734,0.0,371,371.0,521,5557,integer optimal solution
60_0.75_8-1,0.23041200637817383,0.0,461,461.0,0,965,integer optimal solution
60_0.75_8-2,0.17707109451293945,0.0,312,312.0,0,658,integer optimal solution
60_0.75_8-3,0.29814815521240234,0.0,393,393.0,192,1945,integer optimal solution
60_0.75_8-4,0.1284630298614502,0.0,363,363.0,0,508,integer optimal solution
90_0.25_2-0,0.3320448398590088,0.0,904,904.0,0,1452,integer optimal solution
90_0.25_2-1,0.5623950958251953,0.0,919,919.0,30,2182,integer optimal solution
90_0.25_2-2,0.5747179985046387,0.0,930,930.0,0,1644,integer optimal solution
90_0.25_2-3,0.14007997512817383,0.0,900,900.0,0,721,integer optimal solution
90_0.25_2-4,1.542147159576416,0.0,922,922.0,4973,51597,integer optimal solution
90_0.25_4-0,0.24562811851501465,0.0,862,862.0,0,1181,integer optimal solution
90_0.25_4-1,0.4002230167388916,0.0,863,863.0,0,821,integer optimal solution
90_0.25_4-2,0.4800069332122803,0.0,976,976.0,83,2181,integer optimal solution
90_0.25_4-3,0.5906751155853271,0.0,921,921.0,246,4599,integer optimal solution
90_0.25_4-4,0.46009182929992676,0.0,1012,1012.0,138,3141,integer optimal solution
90_0.25_8-0,0.10567998886108398,0.0,1006,1006.0,0,380,integer optimal solution
90_0.25_8-1,0.28867602348327637,0.0,921,921.0,0,1064,integer optimal solution
90_0.25_8-2,0.07110714912414551,0.0,854,854.0,0,495,integer optimal solution
90_0.25_8-3,0.08623909950256348,0.0,850,850.0,0,359,integer optimal solution
90_0.25_8-4,0.4199709892272949,0.0,998,998.0,403,4927,integer optimal solution
90_0.5_2-0,0.2684290409088135,0.0,509,509.0,0,1405,integer optimal solution
90_0.5_2-1,0.35674309730529785,0.0,485,485.0,0,1238,integer optimal solution
90_0.5_2-2,0.2517051696777344,0.0,635,635.0,0,1300,integer optimal solution
90_0.5_2-3,0.18261218070983887,0.0,572,572.0,0,1240,integer optimal solution
90_0.5_2-4,0.4122350215911865,0.0,561,561.0,0,1337,integer optimal solution
90_0.5_4-0,0.27433109283447266,0.0,567,567.0,0,1042,integer optimal solution
90_0.5_4-1,0.4469718933105469,0.0,561,561.0,0,1746,integer optimal solution
90_0.5_4-2,0.1570570468902588,0.0,618,618.0,0,834,integer optimal solution
90_0.5_4-3,0.3318290710449219,0.0,693,693.0,0,886,integer optimal solution
90_0.5_4-4,0.5659301280975342,0.0,566,566.0,0,1288,integer optimal solution
90_0.5_8-0,1.4349310398101807,0.0,615,615.0,2004,22993,integer optimal solution
90_0.5_8-1,0.19957804679870605,0.0,566,566.0,0,779,integer optimal solution
90_0.5_8-2,0.15890717506408691,0.0,637,637.0,0,824,integer optimal solution
90_0.5_8-3,0.1513509750366211,0.0,536,536.0,0,568,integer optimal solution
90_0.5_8-4,0.1703479290008545,0.0,592,592.0,0,573,integer optimal solution
90_0.75_2-0,0.5034019947052002,0.0,339,339.0,0,1574,integer optimal solution
90_0.75_2-1,1.1913068294525146,0.0,393,393.0,2237,23605,integer optimal solution
90_0.75_2-2,0.2716810703277588,0.0,442,442.0,0,1884,integer optimal solution
90_0.75_2-3,0.6999261379241943,0.0,433,433.0,0,2070,integer optimal solution
90_0.75_2-4,1.5411789417266846,0.0,477,477.0,1530,15165,integer optimal solution
90_0.75_4-0,0.55885910987854,0.0,463,463.0,0,1318,integer optimal solution
90_0.75_4-1,2.144866943359375,0.0,442,442.0,5019,44972,integer optimal solution
90_0.75_4-2,0.22826886177062988,0.0,349,349.0,0,985,integer optimal solution
90_0.75_4-3,0.4146420955657959,0.0,438,438.0,0,1308,integer optimal solution
90_0.75_4-4,0.2500789165496826,0.0,384,384.0,0,967,integer optimal solution
90_0.75_8-0,0.6031861305236816,0.0,448,448.0,0,1439,integer optimal solution
90_0.75_8-1,0.6194138526916504,0.0,356,356.0,234,2739,integer optimal solution
90_0.75_8-2,0.45212697982788086,0.0,365,365.0,0,1136,integer optimal solution
90_0.75_8-3,0.216217041015625,0.0,397,397.0,0,809,integer optimal solution
90_0.75_8-4,0.74111008644104,0.0,406,406.0,1138,9288,integer optimal solution
120_0.25_2-0,4.345901966094971,0.0,1001,1001.0,13377,135328,integer optimal solution
120_0.25_2-1,0.40939903259277344,0.0,926,926.0,0,1410,integer optimal solution
120_0.25_2-2,22.900362014770508,0.0,1081,1081.0,30635,419915,integer optimal solution
120_0.25_2-3,0.7738239765167236,0.0,945,945.0,732,9228,integer optimal solution
120_0.25_2-4,0.4530670642852783,0.0,1094,1094.0,0,1857,integer optimal solution
120_0.25_4-0,0.32315897941589355,0.0,1035,1035.0,0,1163,integer optimal solution
120_0.25_4-1,0.2478010654449463,0.0,1200,1200.0,0,1579,integer optimal solution
120_0.25_4-2,0.44919395446777344,0.0,1181,1181.0,301,5098,integer optimal solution
120_0.25_4-3,1.7033958435058594,0.0,1055,1055.0,6307,65996,integer optimal solution
120_0.25_4-4,4.651248931884766,0.0,950,950.0000000000013,9630,131640,integer optimal solution
120_0.25_8-0,0.4071369171142578,0.0,1001,1001.0,53,1500,integer optimal solution
120_0.25_8-1,0.5737059116363525,0.0,1056,1056.0000000000014,0,1561,integer optimal solution
120_0.25_8-2,0.1430349349975586,0.0,1040,1040.0,0,831,integer optimal solution
120_0.25_8-3,0.45658302307128906,0.0,905,905.0,89,1762,integer optimal solution
120_0.25_8-4,0.41351890563964844,0.0,972,972.0,0,668,integer optimal solution
120_0.5_2-0,38.93425893783569,0.0,641,641.0,161150,1730411,integer optimal solution
120_0.5_2-1,0.5783572196960449,0.0,611,611.0,0,2091,integer optimal solution
120_0.5_2-2,1.2436819076538086,0.0,569,569.0,1495,11488,integer optimal solution
120_0.5_2-3,5.54816198348999,0.0,675,675.0,25085,212947,integer optimal solution
120_0.5_2-4,0.30068302154541016,0.0,513,513.0,0,1769,integer optimal solution
