,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.023773193359375,0.0,224,224.0,0,102,integer optimal solution
30_0.25_2-1,0.011355876922607422,0.0,272,272.0,0,86,integer optimal solution
30_0.25_2-2,0.026554107666015625,0.0,215,215.0,0,134,integer optimal solution
30_0.25_2-3,0.011855125427246094,0.0,179,179.0,0,109,integer optimal solution
30_0.25_2-4,0.021960020065307617,0.0,265,265.0,0,103,integer optimal solution
30_0.25_4-0,0.013545989990234375,0.0,150,150.0,0,69,integer optimal solution
30_0.25_4-1,0.041021108627319336,0.0,253,253.0,0,148,integer optimal solution
30_0.25_4-2,0.0382380485534668,0.0,272,272.0,0,187,integer optimal solution
30_0.25_4-3,0.026578903198242188,0.0,259,259.0,0,126,integer optimal solution
30_0.25_4-4,0.03174996376037598,0.0,274,274.0,0,111,integer optimal solution
30_0.25_8-0,0.019168853759765625,0.0,259,259.0,0,67,integer optimal solution
30_0.25_8-1,0.023394107818603516,0.0,251,251.0,0,76,integer optimal solution
30_0.25_8-2,0.010792016983032227,0.0,292,292.0,0,63,integer optimal solution
30_0.25_8-3,0.02191901206970215,0.0,254,254.0,0,65,integer optimal solution
30_0.25_8-4,0.024506807327270508,0.0,353,353.0,0,94,integer optimal solution
30_0.5_2-0,0.0834360122680664,0.0,113,113.0,0,344,integer optimal solution
30_0.5_2-1,0.021060943603515625,0.0,139,139.0,0,197,integer optimal solution
30_0.5_2-2,0.04490208625793457,0.0,107,107.0,0,146,integer optimal solution
30_0.5_2-3,0.11170196533203125,0.0,86,86.0,4,466,integer optimal solution
30_0.5_2-4,0.03751015663146973,0.0,125,125.0,0,145,integer optimal solution
30_0.5_4-0,0.043932199478149414,0.0,144,144.0,0,156,integer optimal solution
30_0.5_4-1,0.04638099670410156,0.0,123,123.0,0,167,integer optimal solution
30_0.5_4-2,0.08251810073852539,0.0,120,120.0,0,303,integer optimal solution
30_0.5_4-3,0.019050121307373047,0.0,108,108.0,0,90,integer optimal solution
30_0.5_4-4,0.019948959350585938,0.0,61,61.0,0,101,integer optimal solution
30_0.5_8-0,0.01656794548034668,0.0,113,113.0,0,69,integer optimal solution
30_0.5_8-1,0.024909019470214844,0.0,89,89.0,0,98,integer optimal solution
