,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_0.25-0,0.10416793823242188,0.0,366,366.0,0,414,integer optimal solution
30_0.25_0.25-1,0.11975312232971191,0.0,475,475.0,384,5510,integer optimal solution
30_0.25_0.25-2,0.18172693252563477,0.0,497,497.0,0,1041,integer optimal solution
30_0.25_0.25-3,0.05887293815612793,0.0,449,449.0,0,359,integer optimal solution
30_0.25_0.25-4,0.049677133560180664,0.0,404,404.0,0,329,integer optimal solution
30_0.25_0.5-0,0.09733796119689941,0.0,427,427.0,0,447,integer optimal solution
30_0.25_0.5-1,,,,,,,
30_0.25_0.5-2,0.09780192375183105,0.0,414,414.0,0,477,integer optimal solution
30_0.25_0.5-3,1.3028950691223145,0.0,453,453.0,6049,84111,integer optimal solution
30_0.25_0.5-4,0.05701017379760742,0.0,365,365.0,0,276,integer optimal solution
30_0.25_0.75-0,0.530998945236206,0.0,496,496.0,1874,37413,integer optimal solution
30_0.25_0.75-1,0.0658111572265625,0.0,446,446.0,0,315,integer optimal solution
30_0.25_0.75-2,0.12018108367919922,0.0,429,429.0,0,425,integer optimal solution
30_0.25_0.75-3,0.39134693145751953,0.0,515,515.0,1533,24164,integer optimal solution
30_0.25_0.75-4,0.10354399681091309,0.0,375,375.0,0,405,integer optimal solution
30_0.5_0.25-0,0.09750080108642578,0.0,296,296.0,0,310,integer optimal solution
30_0.5_0.25-1,0.06281089782714844,0.0,289,289.0,0,224,integer optimal solution
30_0.5_0.25-2,0.26898813247680664,0.0,259,259.0,0,851,integer optimal solution
30_0.5_0.25-3,0.06372284889221191,0.0,312,312.0,0,267,integer optimal solution
30_0.5_0.25-4,0.35311412811279297,0.0,360,360.0,0,1672,integer optimal solution
30_0.5_0.5-0,0.1251230239868164,0.0,308,308.0,0,500,integer optimal solution
30_0.5_0.5-1,0.08381891250610352,0.0,354,354.0,0,190,integer optimal solution
30_0.5_0.5-2,0.06268119812011719,0.0,302,302.0,0,158,integer optimal solution
30_0.5_0.5-3,0.27283501625061035,0.0,277,277.0,0,870,integer optimal solution
30_0.5_0.5-4,0.24535584449768066,0.0,357,357.0000000000041,0,1171,integer optimal solution
30_0.5_0.75-0,0.27329301834106445,0.0,315,315.0,0,1321,integer optimal solution
30_0.5_0.75-1,0.10487604141235352,0.0,335,335.0,0,255,integer optimal solution
