,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.5124011039733887,0.0,230,230.0,6486,41482,integer optimal solution
30_0.25_2-1,0.012892007827758789,0.0,165,165.0,0,99,integer optimal solution
30_0.25_2-2,0.012619972229003906,0.0,238,238.0,0,88,integer optimal solution
30_0.25_2-3,0.023934125900268555,0.0,149,149.0,0,186,integer optimal solution
30_0.25_2-4,0.03518509864807129,0.0,157,157.0,0,204,integer optimal solution
30_0.25_4-0,0.02006697654724121,0.0,209,209.0,0,113,integer optimal solution
30_0.25_4-1,0.049241065979003906,0.0,229,229.0,0,178,integer optimal solution
30_0.25_4-2,0.035336971282958984,0.0,238,238.0,0,221,integer optimal solution
30_0.25_4-3,0.011595964431762695,0.0,256,256.0,0,84,integer optimal solution
30_0.25_4-4,0.015344858169555664,0.0,312,312.0,0,91,integer optimal solution
30_0.25_8-0,0.14944815635681152,0.0,220,220.0,2644,12881,integer optimal solution
30_0.25_8-1,0.009608983993530273,0.0,224,224.0,0,104,integer optimal solution
30_0.25_8-2,0.013327836990356445,0.0,177,177.0,0,106,integer optimal solution
30_0.25_8-3,0.013263940811157227,0.0,209,209.0,0,97,integer optimal solution
30_0.25_8-4,0.009974956512451172,0.0,298,298.0,0,108,integer optimal solution
30_0.5_2-0,0.01774001121520996,0.0,130,130.0,0,138,integer optimal solution
30_0.5_2-1,0.04973793029785156,0.0,129,129.0,0,264,integer optimal solution
30_0.5_2-2,0.03429079055786133,0.0,130,130.0,0,201,integer optimal solution
30_0.5_2-3,0.020242929458618164,0.0,113,113.0,0,177,integer optimal solution
30_0.5_2-4,0.05448317527770996,0.0,68,68.0,0,515,integer optimal solution
30_0.5_4-0,0.01731109619140625,0.0,107,107.0,0,187,integer optimal solution
30_0.5_4-1,0.017984867095947266,0.0,84,84.0,0,240,integer optimal solution
30_0.5_4-2,0.01593804359436035,0.0,119,119.0,0,227,integer optimal solution
30_0.5_4-3,0.061556100845336914,0.0,130,130.0,0,387,integer optimal solution
30_0.5_4-4,0.019719839096069336,0.0,127,127.0,0,225,integer optimal solution
30_0.5_8-0,0.017979145050048828,0.0,117,117.0,0,205,integer optimal solution
30_0.5_8-1,0.0752420425415039,0.0,95,95.0,0,361,integer optimal solution
30_0.5_8-2,0.6867518424987793,0.0,102,102.0,8055,49528,integer optimal solution
30_0.5_8-3,0.04609107971191406,0.0,86,86.0,0,345,integer optimal solution
30_0.5_8-4,0.04391598701477051,0.0,125,125.0,0,231,integer optimal solution
