,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
120_0.25_2-3,0.41664886474609375,0.0,695,695.0,0,1575,integer optimal solution
120_0.25_2-4,28.157567024230957,0.0,612,612.0,113303,1078120,integer optimal solution
120_0.25_4-0,0.6929049491882324,0.0,711,711.0,0,1713,integer optimal solution
120_0.25_4-1,0.7548470497131348,0.0,536,536.0,1197,10378,integer optimal solution
120_0.25_4-2,1.9429478645324707,0.0,566,566.0,6712,60856,integer optimal solution
120_0.25_4-3,0.6280779838562012,0.0,474,474.0,0,1767,integer optimal solution
120_0.25_4-4,0.8901429176330566,0.0,554,554.0,0,2641,integer optimal solution
120_0.25_8-0,0.14258503913879395,0.0,629,629.0,0,1459,integer optimal solution
120_0.25_8-1,0.1507430076599121,0.0,641,641.0,0,1845,integer optimal solution
120_0.25_8-2,0.1694178581237793,0.0,563,563.0,0,1831,integer optimal solution
120_0.25_8-3,0.4034609794616699,0.0,650,650.0,0,1897,integer optimal solution
120_0.25_8-4,0.8012120723724365,0.0,648,648.0,1981,17818,integer optimal solution
120_0.5_2-0,0.6497080326080322,0.0,277,277.0,0,2445,integer optimal solution
120_0.5_2-1,0.30290699005126953,0.0,279,279.0,0,2167,integer optimal solution
120_0.5_2-2,0.6931271553039551,0.0,383,383.0,0,2309,integer optimal solution
120_0.5_2-3,1.710630178451538,0.0,319,319.0,0,2316,integer optimal solution
120_0.5_2-4,0.3126070499420166,0.0,347,347.0,0,2195,integer optimal solution
120_0.5_4-0,4.9282660484313965,0.0,332,332.0,19282,165407,integer optimal solution
120_0.5_4-1,0.8438701629638672,0.0,301,301.0,0,3003,integer optimal solution
120_0.5_4-2,7202.016039133072,1.3799305383279394,278,274.16379310344695,7776547,72539839,time limit exceeded
120_0.5_4-3,0.6912331581115723,0.0,291,291.0,0,2728,integer optimal solution
120_0.5_4-4,0.9409699440002441,0.0,362,362.0,0,2535,integer optimal solution
120_0.5_8-0,2.6954140663146973,0.0,324,324.0,6608,56729,integer optimal solution
120_0.5_8-1,2.8843679428100586,0.0,237,237.0,333,7849,integer optimal solution
120_0.5_8-2,0.28722620010375977,0.0,261,261.0,0,2186,integer optimal solution
120_0.5_8-3,0.6253349781036377,0.0,313,313.0,0,2590,integer optimal solution
120_0.5_8-4,1.473100185394287,0.0,288,288.0,0,2464,integer optimal solution
120_0.75_2-0,4.0849080085754395,0.0,201,201.0,6679,48313,integer optimal solution
120_0.75_2-1,5.747648000717163,0.0,179,179.0,3063,35789,integer optimal solution
120_0.75_2-2,7.208280086517334,0.0,212,212.0,18046,168457,integer optimal solution
120_0.75_2-3,1.85713791847229,0.0,182,182.0,0,3270,integer optimal solution
120_0.75_2-4,0.44881105422973633,0.0,208,208.0,0,3032,integer optimal solution
120_0.75_4-0,0.43511009216308594,0.0,198,198.0,0,2811,integer optimal solution
120_0.75_4-1,101.36209082603455,0.0,197,197.0,305354,3083041,integer optimal solution
120_0.75_4-2,1.217900037765503,0.0,199,199.0,0,3430,integer optimal solution
120_0.75_4-3,4.507476091384888,0.0,199,199.0,0,3761,integer optimal solution
120_0.75_4-4,1.0962350368499756,0.0,191,191.0,0,3514,integer optimal solution
120_0.75_8-0,4.653674840927124,0.0,168,168.0,517,5542,integer optimal solution
120_0.75_8-1,1.1325149536132812,0.0,142,142.0,0,3536,integer optimal solution
120_0.75_8-2,1.0473289489746094,0.0,188,188.0,0,3228,integer optimal solution
120_0.75_8-3,1.2304999828338623,0.0,146,146.0,0,3629,integer optimal solution
120_0.75_8-4,4.842464923858643,0.0,181,181.0,7509,65295,integer optimal solution
150_0.25_2-0,1.9574370384216309,0.0,659,659.0,1188,13154,integer optimal solution
150_0.25_2-1,1.6833019256591797,0.0,599,599.0,64,3794,integer optimal solution
150_0.25_2-2,0.4706559181213379,0.0,586,586.0,0,2227,integer optimal solution
150_0.25_2-3,1.6047019958496094,0.0,595,595.0,0,2829,integer optimal solution
150_0.25_2-4,6.311367034912109,0.0,586,586.0,20722,208622,integer optimal solution
150_0.25_4-0,1.2591519355773926,0.0,603,603.0,0,2321,integer optimal solution
150_0.25_4-1,1.5590009689331055,0.0,627,627.0,0,2897,integer optimal solution
150_0.25_4-2,0.7190930843353271,0.0,653,653.0,0,2374,integer optimal solution
150_0.25_4-3,0.21408605575561523,0.0,621,621.0,0,2373,integer optimal solution
150_0.25_4-4,58.013745069503784,0.0,501,501.0,168886,2191416,integer optimal solution
150_0.25_8-0,1.7739019393920898,0.0,676,676.0,607,12550,integer optimal solution
150_0.25_8-1,0.6561939716339111,0.0,581,581.0,0,2416,integer optimal solution
150_0.25_8-2,1.0966289043426514,0.0,781,781.0,0,2758,integer optimal solution
150_0.25_8-3,0.8533420562744141,0.0,709,709.0,0,2811,integer optimal solution
150_0.25_8-4,1.3982009887695312,0.0,615,615.0,867,9752,integer optimal solution
150_0.5_2-0,5.356431007385254,0.0,297,297.0,201,5939,integer optimal solution
150_0.5_2-1,1.1399829387664795,0.0,235,235.0,0,4018,integer optimal solution
150_0.5_2-2,6.065472841262817,0.0,284,284.0,3518,33098,integer optimal solution
150_0.5_2-3,4.894979953765869,0.0,302,302.0,75,4589,integer optimal solution
150_0.5_2-4,5.767145156860352,0.0,310,310.0,14,4272,integer optimal solution
150_0.5_4-0,1.3102951049804688,0.0,255,255.0,0,3331,integer optimal solution
150_0.5_4-1,5.80970311164856,0.0,312,312.0,11854,114081,integer optimal solution
150_0.5_4-2,4.742295980453491,0.0,328,328.0,8787,71159,integer optimal solution
150_0.5_4-3,4.866144895553589,0.0,262,262.0,1653,12634,integer optimal solution
150_0.5_4-4,1.4150869846343994,0.0,302,302.0,0,3766,integer optimal solution
150_0.5_8-0,4.715801954269409,0.0,325,325.0,393,9478,integer optimal solution
150_0.5_8-1,1.477715015411377,0.0,334,334.0,0,3557,integer optimal solution
150_0.5_8-2,2.410378932952881,0.0,254,254.0,0,3608,integer optimal solution
150_0.5_8-3,1.9400238990783691,0.0,290,290.0,0,3577,integer optimal solution
150_0.5_8-4,5.178946018218994,0.0,253,253.0,796,9771,integer optimal solution
150_0.75_2-0,9.367597818374634,0.0,118,118.0,1909,21302,integer optimal solution
150_0.75_2-1,989.4212579727173,0.0,163,163.0,1774311,17478795,integer optimal solution
150_0.75_2-2,0.8343439102172852,0.0,171,171.0,0,4798,integer optimal solution
150_0.75_2-3,10.674696922302246,0.0,181,181.0,0,4312,integer optimal solution
150_0.75_2-4,0.7632098197937012,0.0,159,159.0,0,4519,integer optimal solution
150_0.75_4-0,1.981125831604004,0.0,177,177.0,0,4114,integer optimal solution
150_0.75_4-1,4.2752790451049805,0.0,208,208.0,0,5127,integer optimal solution
150_0.75_4-2,9.285395860671997,0.0,183,183.0,393,6434,integer optimal solution
150_0.75_4-3,0.771582841873169,0.0,183,183.0,0,4158,integer optimal solution
150_0.75_4-4,11.090533971786499,0.0,198,198.0,17,5285,integer optimal solution
150_0.75_8-0,2.3353819847106934,0.0,196,196.0,0,4035,integer optimal solution
150_0.75_8-1,4.859999179840088,0.0,162,162.0,0,5008,integer optimal solution
150_0.75_8-2,2.1257081031799316,0.0,142,142.0,0,5041,integer optimal solution
150_0.75_8-3,2.047119140625,0.0,172,172.0,0,5362,integer optimal solution
150_0.75_8-4,2.2151260375976562,0.0,178,178.0,0,4649,integer optimal solution
