,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_0.25-0,0.2418282032012939,0.0,483.0,483.0,0.0,889.0,integer optimal solution
30_0.25_0.25-1,0.8796341419219971,0.0,548.0,548.0,2947.0,60757.0,integer optimal solution
30_0.25_0.25-2,0.2294530868530273,0.0,504.0,504.0,0.0,1015.0,integer optimal solution
30_0.25_0.25-3,0.268326997756958,0.0,594.0,594.0,414.0,12026.0,integer optimal solution
30_0.25_0.25-4,0.1531629562377929,0.0,579.0,579.0,0.0,598.0,integer optimal solution
30_0.25_0.5-0,0.38018798828125,0.0,535.0,535.0,1140.0,38439.0,integer optimal solution
30_0.25_0.5-1,0.1269209384918213,0.0,579.0,579.0,0.0,694.0,integer optimal solution
30_0.25_0.5-2,,,,,,,
30_0.25_0.5-3,0.1129848957061767,0.0,620.0,620.0,0.0,628.0,integer optimal solution
30_0.25_0.5-4,0.1358311176300048,0.0,618.0,618.0,0.0,670.0,integer optimal solution
30_0.25_0.75-0,,,,,,,
30_0.25_0.75-1,,,,,,,
30_0.25_0.75-2,,,,,,,
30_0.25_0.75-3,,,,,,,
30_0.25_0.75-4,0.110476016998291,0.0,556.0,556.0,0.0,559.0,integer optimal solution
30_0.5_0.25-0,0.6042001247406006,0.0,454.0,454.0,0.0,2347.0,integer optimal solution
30_0.5_0.25-1,1.367936134338379,0.0,555.0,555.0,2663.0,100794.0,integer optimal solution
30_0.5_0.25-2,,,,,,,
30_0.5_0.25-3,0.9726698398590088,0.0,477.0,477.0,1198.0,45524.0,integer optimal solution
30_0.5_0.25-4,0.4639890193939209,0.0,434.0,434.0,0.0,1610.0,integer optimal solution
30_0.5_0.5-0,0.2948970794677734,0.0,592.0,592.0,0.0,1471.0,integer optimal solution
30_0.5_0.5-1,1.8585400581359863,0.0,573.0,573.0,3391.0,148750.0,integer optimal solution
30_0.5_0.5-2,0.2668349742889404,0.0,536.0,536.0,0.0,1161.0,integer optimal solution
30_0.5_0.5-3,1.3746519088745115,0.0,570.0,570.0,3008.0,94749.0,integer optimal solution
30_0.5_0.5-4,1.316087007522583,0.0,550.0,550.0,3167.0,89532.0,integer optimal solution
30_0.5_0.75-0,0.4776620864868164,0.0,521.0,521.0,0.0,1412.0,integer optimal solution
30_0.5_0.75-1,0.5099401473999023,0.0,529.0,529.0,0.0,1633.0,integer optimal solution
30_0.5_0.75-2,0.6375319957733154,0.0,498.0,498.0,0.0,1625.0,integer optimal solution
30_0.5_0.75-3,0.2295241355895996,0.0,582.0,582.0,0.0,1057.0,integer optimal solution
30_0.5_0.75-4,1.6640679836273191,0.0,518.0,518.0,4528.0,106293.0,integer optimal solution
30_0.75_0.25-0,1.061784029006958,0.0,527.0,527.0,0.0,3236.0,integer optimal solution
30_0.75_0.25-1,1.0676319599151611,0.0,364.0,364.0,382.0,24589.0,integer optimal solution
30_0.75_0.25-2,10.080521821975708,0.0,479.0,479.0,7006.0,416344.0,integer optimal solution
30_0.75_0.25-3,1.609050989151001,0.0,421.0,421.0,1291.0,85092.0,integer optimal solution
30_0.75_0.25-4,3.399046897888184,0.0,497.0,497.0,4764.0,219078.0,integer optimal solution
30_0.75_0.5-0,8.953500986099243,0.0,532.0,532.0000000000002,5703.0,280087.0,integer optimal solution
30_0.75_0.5-1,1.9701011180877688,0.0,433.0,433.0,1997.0,89017.0,integer optimal solution
30_0.75_0.5-2,14.125972032546995,0.0,539.0,539.0,7936.0,319929.0,integer optimal solution
30_0.75_0.5-3,4.457595109939575,0.0,559.0,559.0,6232.0,276609.0,integer optimal solution
30_0.75_0.5-4,0.8659000396728516,0.0,566.0,566.0,0.0,2426.0,integer optimal solution
30_0.75_0.75-0,0.3049371242523193,0.0,563.0,563.0,0.0,729.0,integer optimal solution
30_0.75_0.75-1,1.2131760120391846,0.0,522.0,522.0,2261.0,53373.0,integer optimal solution
30_0.75_0.75-2,4.671483993530273,0.0,528.0,528.0,4361.0,209461.0,integer optimal solution
30_0.75_0.75-3,,,,,,,
30_0.75_0.75-4,0.5275461673736572,0.0,575.0,575.0,0.0,1340.0,integer optimal solution
60_0.25_0.25-0,62.9249758720398,0.0,1024.0,1024.0,12652.0,1250247.0,integer optimal solution
60_0.25_0.25-1,105.53280210494997,0.0,1113.0,1113.0,20218.0,2022939.0,integer optimal solution
60_0.25_0.25-2,,,,,,,
60_0.25_0.25-3,96.80183792114258,0.0,1109.0,1109.0,19259.0,1643196.0,integer optimal solution
60_0.25_0.25-4,71.4796850681305,0.0,1143.0,1143.0,18208.0,2643310.0,integer optimal solution
60_0.25_0.5-0,2.956102132797241,0.0,1266.0,1266.0,3328.0,97188.0,integer optimal solution
60_0.25_0.5-1,119.96884298324584,0.0,1105.0,1105.0,19372.0,2078292.0,integer optimal solution
60_0.25_0.5-2,,,,,,,
60_0.25_0.5-3,10.336830139160156,0.0,1320.0,1320.0,6593.0,465925.0,integer optimal solution
60_0.25_0.5-4,,,,,,,
60_0.25_0.75-0,,,,,,,
60_0.25_0.75-1,12.760798931121826,0.0,1053.0,1053.0,7192.0,358998.0,integer optimal solution
60_0.25_0.75-2,,,,,,,
60_0.25_0.75-3,6.164342880249023,0.0,1215.0,1215.0,3746.0,81187.0,integer optimal solution
60_0.25_0.75-4,,,,,,,
60_0.5_0.25-0,1443.7482221126556,0.0,1063.0,1063.0,91272.0,16434855.0,integer optimal solution
60_0.5_0.25-1,7200.025558948517,1.8636526506930309,972.0,953.885296235262,154341.0,29816603.0,time limit exceeded
60_0.5_0.25-2,7200.024413108826,2.094505643521902,1046.0,1024.0914709687588,205928.0,24531299.0,time limit exceeded
60_0.5_0.25-3,369.85045981407166,0.0,1136.0,1136.0,36282.0,4022304.0,integer optimal solution
60_0.5_0.25-4,1800.6095008850098,0.0,1043.0,1043.0,95634.0,18845787.0,integer optimal solution
60_0.5_0.5-0,1189.3824319839478,0.0,1089.0,1089.0,75625.0,7877728.0,integer optimal solution
60_0.5_0.5-1,682.0508968830109,0.0,1064.0,1064.0,69930.0,5671895.0,integer optimal solution
60_0.5_0.5-2,510.70361495018005,0.0,1081.0,1081.0,46317.0,2632522.0,integer optimal solution
60_0.5_0.5-3,4213.11233496666,0.0,1135.0,1135.0,191816.0,15217310.0,integer optimal solution
60_0.5_0.5-4,149.9101800918579,0.0,1109.0,1109.0,16409.0,1214866.0,integer optimal solution
60_0.5_0.75-0,49.35997295379639,0.0,1039.0,1039.0,10209.0,496267.0,integer optimal solution
60_0.5_0.75-1,6.485613822937012,0.0,1121.0,1121.0,4709.0,195583.0,integer optimal solution
60_0.5_0.75-2,,,,,,,
60_0.5_0.75-3,,,,,,,
60_0.5_0.75-4,63.00269103050232,0.0,1189.0,1189.0,10801.0,653908.0,integer optimal solution
60_0.75_0.25-0,3810.777270078659,0.0,1098.0,1098.0,166208.0,11171184.0,integer optimal solution
60_0.75_0.25-1,386.3737380504608,0.0,886.0,886.0,27160.0,2350991.0,integer optimal solution
60_0.75_0.25-2,2959.265627861023,0.0,980.0,980.0,90019.0,19514811.0,integer optimal solution
60_0.75_0.25-3,5357.372750997543,0.0,879.0,879.0,103917.0,18867999.0,integer optimal solution
60_0.75_0.25-4,1516.0076649188995,0.0,970.0,970.0,54321.0,11447877.0,integer optimal solution
60_0.75_0.5-0,606.3366720676422,0.0,1031.0,1031.0,40601.0,3045960.0,integer optimal solution
60_0.75_0.5-1,1400.756501913071,0.0,968.0,968.0,67167.0,6524336.0,integer optimal solution
60_0.75_0.5-2,1734.057490110397,0.0,1116.0,1116.0,81463.0,6920109.0,integer optimal solution
60_0.75_0.5-3,692.0898060798645,0.0,1125.0,1125.0,55523.0,5730057.0,integer optimal solution
60_0.75_0.5-4,1870.9744861125944,0.0,1136.0,1136.0,81426.0,8142668.0,integer optimal solution
60_0.75_0.75-0,781.4939241409302,0.0,933.0,933.0,39244.0,2468737.0,integer optimal solution
60_0.75_0.75-1,161.4874770641327,0.0,1046.0,1046.0,15538.0,1368393.0,integer optimal solution
60_0.75_0.75-2,1134.8555150032043,0.0,1043.0,1043.0,59551.0,5531998.0,integer optimal solution
60_0.75_0.75-3,,,,,,,
60_0.75_0.75-4,115.9147789478302,0.0,1158.0,1158.0,12353.0,553519.0,integer optimal solution
90_0.25_0.25-0,7200.1573350429535,2.359698188432043,1513.0,1477.2977664090208,122157.0,28485106.0,time limit exceeded
90_0.25_0.25-1,7200.030335903168,1.0424466614973378,1613.0,1596.185335350047,129005.0,23439126.0,time limit exceeded
90_0.25_0.25-2,7200.25457906723,3.544541688776921,1549.0,1494.095049240842,93924.0,40657809.0,time limit exceeded
90_0.25_0.25-3,7200.115354061127,0.5030981059643729,1450.0,1442.705077463516,120947.0,21983432.0,time limit exceeded
90_0.25_0.25-4,3550.537710905075,0.0,1598.0,1598.0,62907.0,15939824.0,integer optimal solution
90_0.25_0.5-0,,,,,,,
90_0.25_0.5-1,246.3631730079651,0.0,1734.0,1734.0,18390.0,1520184.0,integer optimal solution
90_0.25_0.5-2,,,,,,,
90_0.25_0.5-3,146.24582195281982,0.0,1775.0,1775.0,16261.0,1717935.0,integer optimal solution
90_0.25_0.5-4,,,,,,,
90_0.25_0.75-0,115.52471709251404,0.0,1641.0,1641.0,14548.0,914409.0,integer optimal solution
90_0.25_0.75-1,3362.1766440868378,0.0,1789.0,1788.9999999999995,137003.0,14635098.0,integer optimal solution
90_0.25_0.75-2,,,,,,,
90_0.25_0.75-3,,,,,,,
90_0.25_0.75-4,,,,,,,
90_0.5_0.25-0,7200.033716917038,4.253854383129498,1649.0,1578.8539412221903,136971.0,43278683.0,time limit exceeded
90_0.5_0.25-1,7200.566071987152,14.374413404851055,1640.0,1404.2596201604283,147329.0,30201142.0,time limit exceeded
90_0.5_0.25-2,7200.4174451828,8.557376312924886,1607.0,1469.4829626512885,169276.0,22431347.0,time limit exceeded
90_0.5_0.25-3,7200.237164020538,7.33890711649704,1507.0,1396.4026697543823,87954.0,28228516.0,time limit exceeded
90_0.5_0.25-4,7200.078154087067,4.850446718527574,1930.0,1836.386378332413,200765.0,41835172.0,time limit exceeded
90_0.5_0.5-0,7200.968544006348,6.53021529386506,1590.0,1486.169576827539,181945.0,12779954.0,time limit exceeded
90_0.5_0.5-1,7200.076503038406,8.26244646469538,1579.0,1448.5359703224517,117744.0,28617472.0,time limit exceeded
90_0.5_0.5-2,235.87792110443115,0.0,2071.0,2071.0,31138.0,6627020.0,integer optimal solution
90_0.5_0.5-3,7200.120141029358,1.9028376275258645,1813.0,1778.5015538129542,254154.0,26233320.0,time limit exceeded
90_0.5_0.5-4,7200.053728103638,8.356900247907681,1636.0,1499.281111944222,135841.0,30412633.0,time limit exceeded
90_0.5_0.75-0,846.5815188884735,0.0,1577.0,1577.0,23523.0,4057516.0,integer optimal solution
90_0.5_0.75-1,1618.9020359516144,0.0,1755.0,1755.0,58194.0,8663069.0,integer optimal solution
90_0.5_0.75-2,,,,,,,
90_0.5_0.75-3,,,,,,,
90_0.5_0.75-4,7200.562602996826,3.2483693365231567,1764.0,1706.6987649037283,106913.0,9020151.0,time limit exceeded
90_0.75_0.25-0,7200.043204069138,21.743793273149535,1629.0,1274.7936075803723,72954.0,25293751.0,time limit exceeded
90_0.75_0.25-1,7200.031280040741,11.306806536665091,1527.0,1354.3450641851127,81202.0,24762157.0,time limit exceeded
90_0.75_0.25-2,7200.052028179169,9.299377612972954,1426.0,1293.3908752389964,75103.0,29562012.0,time limit exceeded
90_0.75_0.25-3,7200.421122074127,11.419654331021317,1408.0,1247.2112670192084,110311.0,22019888.0,time limit exceeded
90_0.75_0.25-4,7200.6927490234375,10.229817768014607,1562.0,1402.2102464636016,123494.0,21285428.0,time limit exceeded
90_0.75_0.5-0,7200.8342089653015,18.535820769217935,1716.0,1397.9253156002017,102959.0,11476045.0,time limit exceeded
90_0.75_0.5-1,7200.074476957321,19.433089871428713,1798.0,1448.5930441116923,91150.0,17785443.0,time limit exceeded
90_0.75_0.5-2,,,,,,,
90_0.75_0.5-3,7200.087895870209,13.799911799817059,1773.0,1528.3275637892298,102651.0,20113892.0,time limit exceeded
90_0.75_0.5-4,7200.037976980209,15.463664237434516,1584.0,1339.0555584790218,78149.0,18265759.0,time limit exceeded
90_0.75_0.75-0,7200.29882311821,2.0617543664159195,1715.0,1679.6409126159654,117290.0,10741680.0,time limit exceeded
90_0.75_0.75-1,7200.047542095184,17.28033723117143,1587.0,1312.7610481412921,87281.0,13158061.0,time limit exceeded
90_0.75_0.75-2,,,,,,,
90_0.75_0.75-3,,,,,,,
90_0.75_0.75-4,933.5002720355988,0.0,1752.0,1752.0,18991.0,4315955.0,integer optimal solution
120_0.25_0.25-0,7200.03780913353,16.02418661464122,2213.0,1858.3847502179738,71381.0,19400996.0,time limit exceeded
120_0.25_0.25-1,7200.629029989243,10.256265580726264,2084.0,1870.2594252976544,80168.0,17982919.0,time limit exceeded
120_0.25_0.25-2,7200.051975011826,14.375059535092685,2042.0,1748.461284293393,50056.0,19981949.0,time limit exceeded
120_0.25_0.25-3,7201.1281061172485,9.420779787230101,2124.0,1923.9026373192232,129720.0,24367383.0,time limit exceeded
120_0.25_0.25-4,7200.4585819244385,4.758114690256747,2266.0,2158.1811211187774,134573.0,24126095.0,time limit exceeded
120_0.25_0.5-0,3142.5604259967804,0.0,2347.0,2347.0,92541.0,17509365.0,integer optimal solution
120_0.25_0.5-1,7200.067227840424,9.932512134805446,2050.0,1846.3835012364784,136161.0,14021620.0,time limit exceeded
120_0.25_0.5-2,7200.043056964874,13.233048385584736,2227.0,1932.3000124530147,129328.0,20916870.0,time limit exceeded
120_0.25_0.5-3,,,,,,,
120_0.25_0.5-4,,,,,,,
120_0.25_0.75-0,,,,,,,
120_0.25_0.75-1,,,,,,,
120_0.25_0.75-2,,,,,,,
120_0.25_0.75-3,,,,,,,
120_0.25_0.75-4,,,,,,,
120_0.5_0.25-0,7200.07470703125,15.078258251142104,1891.0,1605.8701364708877,54104.0,17204430.0,time limit exceeded
120_0.5_0.25-1,7200.052756071091,23.411961975707797,2097.0,1606.051157369384,31175.0,11677082.0,time limit exceeded
120_0.5_0.25-2,7200.954038143158,15.339789638016615,2034.0,1721.9886787627265,78502.0,13379983.0,time limit exceeded
120_0.5_0.25-3,,,,,,,
120_0.5_0.25-4,7200.047833919525,18.20990681618008,2013.0,1646.4345757902768,37420.0,13659255.0,time limit exceeded
120_0.5_0.5-0,7200.041250944138,13.043167239682582,2617.0,2275.660313337494,147378.0,31122320.0,time limit exceeded
120_0.5_0.5-1,7200.046252965927,14.503532368598165,2021.0,1727.8836108306166,72614.0,12948511.0,time limit exceeded
120_0.5_0.5-2,7200.088847875595,23.23889484690178,2302.0,1767.0406406242978,70222.0,10250361.0,time limit exceeded
120_0.5_0.5-3,7200.919790029526,11.468593190300044,2324.0,2057.4698942574155,190609.0,18036857.0,time limit exceeded
