,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.0178830623626709,0.0,191,191.0,0,126,integer optimal solution
30_0.25_2-1,0.04174494743347168,0.0,353,353.0,0,296,integer optimal solution
30_0.25_2-2,0.03296685218811035,0.0,315,315.0,0,188,integer optimal solution
30_0.25_2-3,0.024146080017089844,0.0,298,297.99999999999994,0,150,integer optimal solution
30_0.25_2-4,0.014078855514526367,0.0,403,403.0,0,145,integer optimal solution
30_0.25_4-0,0.037934064865112305,0.0,338,338.0,0,155,integer optimal solution
30_0.25_4-1,0.01584005355834961,0.0,443,443.0,0,82,integer optimal solution
30_0.25_4-2,0.022654056549072266,0.0,283,283.0,0,89,integer optimal solution
30_0.25_4-3,0.028757095336914062,0.0,290,290.0,0,191,integer optimal solution
30_0.25_4-4,0.053772926330566406,0.0,386,386.0,0,321,integer optimal solution
30_0.25_8-0,0.010601043701171875,0.0,389,389.0,0,75,integer optimal solution
30_0.25_8-1,0.0163271427154541,0.0,380,380.0,0,86,integer optimal solution
30_0.25_8-2,0.02549290657043457,0.0,337,337.0,0,186,integer optimal solution
30_0.25_8-3,0.02738809585571289,0.0,396,396.0,0,190,integer optimal solution
30_0.25_8-4,0.0355830192565918,0.0,413,413.0,0,206,integer optimal solution
30_0.5_2-0,0.04389190673828125,0.0,191,191.0,0,209,integer optimal solution
30_0.5_2-1,0.03429698944091797,0.0,199,199.0,0,179,integer optimal solution
30_0.5_2-2,0.02139115333557129,0.0,216,216.0,0,213,integer optimal solution
30_0.5_2-3,0.05907011032104492,0.0,167,167.0,0,285,integer optimal solution
30_0.5_2-4,0.03174901008605957,0.0,293,293.0,0,218,integer optimal solution
30_0.5_4-0,0.019292116165161133,0.0,254,254.0,0,148,integer optimal solution
30_0.5_4-1,0.06929397583007812,0.0,201,201.0,0,264,integer optimal solution
30_0.5_4-2,0.0420689582824707,0.0,187,187.0,0,184,integer optimal solution
30_0.5_4-3,0.07206416130065918,0.0,146,146.0,0,362,integer optimal solution
30_0.5_4-4,0.0569300651550293,0.0,180,180.0,0,201,integer optimal solution
30_0.5_8-0,0.09682989120483398,0.0,219,219.0,223,2503,integer optimal solution
30_0.5_8-1,0.020544052124023438,0.0,203,203.0,0,94,integer optimal solution
30_0.5_8-2,0.02633500099182129,0.0,209,209.0,0,101,integer optimal solution
30_0.5_8-3,0.04241299629211426,0.0,156,156.0,0,159,integer optimal solution
30_0.5_8-4,0.07268810272216797,0.0,223,223.0,0,273,integer optimal solution
30_0.75_2-0,0.0637960433959961,0.0,144,144.0,0,304,integer optimal solution
30_0.75_2-1,0.037815093994140625,0.0,162,162.0,0,348,integer optimal solution
30_0.75_2-2,0.06680107116699219,0.0,111,111.0,0,320,integer optimal solution
30_0.75_2-3,0.02988910675048828,0.0,134,134.0,0,212,integer optimal solution
30_0.75_2-4,0.07070112228393555,0.0,114,114.0,0,193,integer optimal solution
30_0.75_4-0,0.15068602561950684,0.0,126,126.0,321,1949,integer optimal solution
30_0.75_4-1,0.0345761775970459,0.0,206,206.0,0,244,integer optimal solution
30_0.75_4-2,0.03378582000732422,0.0,128,128.0,0,174,integer optimal solution
30_0.75_4-3,0.02655482292175293,0.0,98,98.0,0,128,integer optimal solution
30_0.75_4-4,0.12932991981506348,0.0,153,153.0,70,860,integer optimal solution
30_0.75_8-0,0.06467103958129883,0.0,113,113.0,0,150,integer optimal solution
30_0.75_8-1,0.03547382354736328,0.0,142,142.0,0,110,integer optimal solution
30_0.75_8-2,0.04014182090759277,0.0,153,153.0,0,209,integer optimal solution
30_0.75_8-3,0.04051089286804199,0.0,103,103.0,0,156,integer optimal solution
30_0.75_8-4,0.05527091026306152,0.0,126,126.0,0,214,integer optimal solution
60_0.25_2-0,0.059072017669677734,0.0,370,370.0,0,536,integer optimal solution
60_0.25_2-1,0.10485291481018066,0.0,426,426.0,0,480,integer optimal solution
60_0.25_2-2,0.06277298927307129,0.0,491,491.0,0,698,integer optimal solution
60_0.25_2-3,0.10804319381713867,0.0,392,392.0,0,593,integer optimal solution
60_0.25_2-4,0.10428094863891602,0.0,385,385.0,0,535,integer optimal solution
60_0.25_4-0,0.1228799819946289,0.0,397,397.0,0,473,integer optimal solution
60_0.25_4-1,0.22441911697387695,0.0,332,332.0,631,5088,integer optimal solution
60_0.25_4-2,0.03834891319274902,0.0,459,459.0,0,296,integer optimal solution
60_0.25_4-3,0.26949095726013184,0.0,454,454.0,1192,10589,integer optimal solution
60_0.25_4-4,0.03722214698791504,0.0,396,396.0,0,255,integer optimal solution
60_0.25_8-0,0.03672909736633301,0.0,357,357.0,0,209,integer optimal solution
60_0.25_8-1,1.9625420570373535,0.0,434,434.0,13502,142923,integer optimal solution
60_0.25_8-2,0.10159492492675781,0.0,411,411.0,0,399,integer optimal solution
60_0.25_8-3,0.06642818450927734,0.0,405,405.0,0,271,integer optimal solution
60_0.25_8-4,0.046942949295043945,0.0,290,290.0,0,253,integer optimal solution
60_0.5_2-0,0.12478804588317871,0.0,177,177.0,0,611,integer optimal solution
60_0.5_2-1,0.1244509220123291,0.0,216,216.0,0,567,integer optimal solution
60_0.5_2-2,0.2540302276611328,0.0,187,187.0,871,6229,integer optimal solution
60_0.5_2-3,0.11301898956298828,0.0,230,230.0,0,707,integer optimal solution
60_0.5_2-4,0.12369012832641602,0.0,189,189.0,0,543,integer optimal solution
60_0.5_4-0,0.11710000038146973,0.0,202,202.0,0,559,integer optimal solution
60_0.5_4-1,0.35186004638671875,0.0,196,196.0,3312,22373,integer optimal solution
60_0.5_4-2,0.2707078456878662,0.0,207,207.0,1408,10156,integer optimal solution
60_0.5_4-3,0.20348310470581055,0.0,176,176.0,0,728,integer optimal solution
60_0.5_4-4,0.13838982582092285,0.0,206,206.0,0,597,integer optimal solution
60_0.5_8-0,0.07544612884521484,0.0,235,235.0,0,404,integer optimal solution
60_0.5_8-1,771.3472819328308,0.0,153,153.0,2405541,15303100,integer optimal solution
60_0.5_8-2,0.16143107414245605,0.0,212,212.0,0,331,integer optimal solution
60_0.5_8-3,0.23104000091552734,0.0,206,206.0,1047,6987,integer optimal solution
60_0.5_8-4,0.12318301200866699,0.0,173,173.0,0,378,integer optimal solution
