,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.03696799278259277,0.0,483,483.0,0,310,integer optimal solution
30_0.25_2-1,,,,,,,
30_0.25_2-2,0.026565074920654297,0.0,612,612.0,0,164,integer optimal solution
30_0.25_2-3,0.039781808853149414,0.0,447,447.0,0,263,integer optimal solution
30_0.25_2-4,,,,,,,
30_0.25_4-0,0.020203113555908203,0.0,418,418.0,0,97,integer optimal solution
30_0.25_4-1,0.016377925872802734,0.0,504,504.0,0,85,integer optimal solution
30_0.25_4-2,,,,,,,
30_0.25_4-3,,,,,,,
30_0.25_4-4,,,,,,,
30_0.25_8-0,,,,,,,
30_0.25_8-1,0.022324800491333008,0.0,443,443.0,0,68,integer optimal solution
30_0.25_8-2,,,,,,,
30_0.25_8-3,0.011818170547485352,0.0,284,284.0,0,81,integer optimal solution
30_0.25_8-4,,,,,,,
30_0.5_2-0,0.10775494575500488,0.0,481,481.0,0,604,integer optimal solution
30_0.5_2-1,,,,,,,
30_0.5_2-2,,,,,,,
30_0.5_2-3,0.10890579223632812,0.0,507,507.0,0,729,integer optimal solution
30_0.5_2-4,,,,,,,
30_0.5_4-0,0.05127096176147461,0.0,337,337.0,0,290,integer optimal solution
30_0.5_4-1,0.07198309898376465,0.0,365,365.0,0,412,integer optimal solution
30_0.5_4-2,0.033000946044921875,0.0,308,308.0,0,255,integer optimal solution
30_0.5_4-3,,,,,,,
30_0.5_4-4,,,,,,,
30_0.5_8-0,,,,,,,
30_0.5_8-1,,,,,,,
30_0.5_8-2,,,,,,,
30_0.5_8-3,,,,,,,
30_0.5_8-4,0.0641489028930664,0.0,232,232.0,0,272,integer optimal solution
30_0.75_2-0,0.10216403007507324,0.0,420,420.0,0,582,integer optimal solution
30_0.75_2-1,,,,,,,
30_0.75_2-2,,,,,,,
30_0.75_2-3,,,,,,,
30_0.75_2-4,,,,,,,
30_0.75_4-0,0.07171988487243652,0.0,330,330.0,0,382,integer optimal solution
30_0.75_4-1,,,,,,,
30_0.75_4-2,0.0411372184753418,0.0,198,198.0,0,265,integer optimal solution
30_0.75_4-3,,,,,,,
