,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.030185937881469727,0.0,387,387.0,0,186,integer optimal solution
30_0.25_2-1,0.038437843322753906,0.0,313,313.0,0,279,integer optimal solution
30_0.25_2-2,0.027192115783691406,0.0,302,302.0,0,112,integer optimal solution
30_0.25_2-3,0.03585410118103027,0.0,277,277.0,0,179,integer optimal solution
30_0.25_2-4,0.014493942260742188,0.0,396,396.0,0,89,integer optimal solution
30_0.25_4-0,0.015735149383544922,0.0,237,237.0,0,91,integer optimal solution
30_0.25_4-1,0.013725042343139648,0.0,275,275.0,0,94,integer optimal solution
30_0.25_4-2,0.016421079635620117,0.0,287,287.0,0,102,integer optimal solution
30_0.25_4-3,0.2805149555206299,0.0,299,299.0,4683,33030,integer optimal solution
30_0.25_4-4,0.012604951858520508,0.0,372,372.0,0,65,integer optimal solution
30_0.25_8-0,0.033332109451293945,0.0,366,366.0,0,148,integer optimal solution
30_0.25_8-1,0.021394014358520508,0.0,405,405.0,0,113,integer optimal solution
30_0.25_8-2,0.15146303176879883,0.0,341,341.0,2517,18508,integer optimal solution
30_0.25_8-3,0.059558868408203125,0.0,442,442.0,727,4425,integer optimal solution
30_0.25_8-4,0.019723892211914062,0.0,226,226.0,0,99,integer optimal solution
30_0.5_2-0,0.022876977920532227,0.0,189,189.0,0,178,integer optimal solution
30_0.5_2-1,0.023715972900390625,0.0,199,199.0,0,193,integer optimal solution
30_0.5_2-2,0.026521921157836914,0.0,184,184.0,0,155,integer optimal solution
30_0.5_2-3,0.0476231575012207,0.0,218,218.0,0,217,integer optimal solution
30_0.5_2-4,0.04173111915588379,0.0,184,184.0,0,210,integer optimal solution
30_0.5_4-0,0.029293060302734375,0.0,206,206.0,0,158,integer optimal solution
30_0.5_4-1,0.02070307731628418,0.0,227,227.0,0,124,integer optimal solution
30_0.5_4-2,0.023446083068847656,0.0,172,172.0,0,129,integer optimal solution
30_0.5_4-3,0.38204288482666016,0.0,202,202.0,5819,42197,integer optimal solution
30_0.5_4-4,0.05829596519470215,0.0,176,176.0,0,294,integer optimal solution
30_0.5_8-0,0.033843994140625,0.0,190,190.0,0,171,integer optimal solution
30_0.5_8-1,0.014281988143920898,0.0,156,156.0,0,149,integer optimal solution
30_0.5_8-2,0.02228403091430664,0.0,141,141.0,0,163,integer optimal solution
30_0.5_8-3,0.03554582595825195,0.0,269,269.0,0,191,integer optimal solution
30_0.5_8-4,0.044914960861206055,0.0,180,180.0,0,330,integer optimal solution
30_0.75_2-0,0.0400087833404541,0.0,156,156.0,0,282,integer optimal solution
30_0.75_2-1,0.04133415222167969,0.0,151,151.0,0,218,integer optimal solution
30_0.75_2-2,0.033486127853393555,0.0,144,144.0,0,258,integer optimal solution
30_0.75_2-3,0.6970858573913574,0.0,95,95.0,14426,85990,integer optimal solution
30_0.75_2-4,0.13667511940002441,0.0,116,116.0,411,2192,integer optimal solution
30_0.75_4-0,0.04550004005432129,0.0,137,137.0,0,220,integer optimal solution
30_0.75_4-1,0.0925760269165039,0.0,152,152.0,0,395,integer optimal solution
30_0.75_4-2,0.12917804718017578,0.0,149,149.0,184,1528,integer optimal solution
30_0.75_4-3,0.059916019439697266,0.0,136,136.0,0,226,integer optimal solution
30_0.75_4-4,0.10397219657897949,0.0,108,108.0,0,293,integer optimal solution
30_0.75_8-0,0.11412191390991211,0.0,149,149.0,0,353,integer optimal solution
30_0.75_8-1,0.030071020126342773,0.0,85,85.0,0,131,integer optimal solution
30_0.75_8-2,0.04348587989807129,0.0,151,151.0,0,233,integer optimal solution
30_0.75_8-3,0.05857110023498535,0.0,98,98.0,0,257,integer optimal solution
30_0.75_8-4,0.025500059127807617,0.0,125,125.0,0,175,integer optimal solution
60_0.25_2-0,0.042405128479003906,0.0,390,390.0,0,413,integer optimal solution
60_0.25_2-1,0.05591297149658203,0.0,388,388.0,0,418,integer optimal solution
60_0.25_2-2,0.06574892997741699,0.0,350,350.0,0,535,integer optimal solution
60_0.25_2-3,0.5094020366668701,0.0,419,419.0,2214,23520,integer optimal solution
60_0.25_2-4,0.05353116989135742,0.0,493,493.0,0,376,integer optimal solution
60_0.25_4-0,0.0904998779296875,0.0,370,370.0,0,484,integer optimal solution
60_0.25_4-1,0.19284796714782715,0.0,433,433.0,0,921,integer optimal solution
60_0.25_4-2,0.08831501007080078,0.0,396,396.0,0,587,integer optimal solution
60_0.25_4-3,0.042810916900634766,0.0,401,401.0,0,459,integer optimal solution
60_0.25_4-4,0.09360694885253906,0.0,390,390.0,0,425,integer optimal solution
60_0.25_8-0,0.07567787170410156,0.0,363,363.0,0,430,integer optimal solution
60_0.25_8-1,0.035359859466552734,0.0,323,323.0,0,307,integer optimal solution
60_0.25_8-2,1.386909008026123,0.0,374,374.0,9621,96272,integer optimal solution
60_0.25_8-3,82.2374701499939,0.0,401,401.0,337235,3663363,integer optimal solution
60_0.25_8-4,0.15941119194030762,0.0,404,404.0,0,553,integer optimal solution
60_0.5_2-0,0.10700297355651855,0.0,216,216.0,0,799,integer optimal solution
60_0.5_2-1,0.12820005416870117,0.0,195,195.0,0,612,integer optimal solution
60_0.5_2-2,0.5000998973846436,0.0,198,198.0000000000003,2662,21821,integer optimal solution
60_0.5_2-3,0.08746600151062012,0.0,210,210.0,0,736,integer optimal solution
60_0.5_2-4,0.32053399085998535,0.0,180,180.0,1084,9267,integer optimal solution
60_0.5_4-0,0.13219881057739258,0.0,130,130.0,0,572,integer optimal solution
60_0.5_4-1,0.08517098426818848,0.0,196,196.0,0,586,integer optimal solution
60_0.5_4-2,909.8604500293732,0.0,193,193.0,1578015,14150920,integer optimal solution
60_0.5_4-3,0.13216495513916016,0.0,143,143.0,0,543,integer optimal solution
60_0.5_4-4,0.16397690773010254,0.0,156,156.0,0,670,integer optimal solution
60_0.5_8-0,0.1480698585510254,0.0,142,142.0,0,633,integer optimal solution
60_0.5_8-1,0.07315301895141602,0.0,202,202.0,0,510,integer optimal solution
60_0.5_8-2,1.0233609676361084,0.0,211,211.0,4269,39025,integer optimal solution
60_0.5_8-3,0.3512840270996094,0.0,252,252.0,993,9087,integer optimal solution
60_0.5_8-4,0.34468603134155273,0.0,194,194.0,2413,15971,integer optimal solution
60_0.75_2-0,0.1529710292816162,0.0,105,105.0,0,681,integer optimal solution
60_0.75_2-1,0.17939400672912598,0.0,121,121.0,0,790,integer optimal solution
60_0.75_2-2,0.12693214416503906,0.0,139,139.0,0,728,integer optimal solution
60_0.75_2-3,0.3236730098724365,0.0,130,130.0,32,1208,integer optimal solution
60_0.75_2-4,0.16370582580566406,0.0,110,110.0,0,596,integer optimal solution
60_0.75_4-0,0.11439085006713867,0.0,120,120.0,0,526,integer optimal solution
60_0.75_4-1,0.12361288070678711,0.0,93,93.0,0,736,integer optimal solution
60_0.75_4-2,0.12932395935058594,0.0,139,139.0,0,670,integer optimal solution
60_0.75_4-3,11.03233289718628,0.0,106,106.0,76556,622458,integer optimal solution
60_0.75_4-4,0.14452505111694336,0.0,114,114.0,0,728,integer optimal solution
60_0.75_8-0,0.14968514442443848,0.0,112,112.0,0,639,integer optimal solution
60_0.75_8-1,0.12644100189208984,0.0,126,126.0,0,779,integer optimal solution
60_0.75_8-2,0.216447114944458,0.0,96,96.0,0,642,integer optimal solution
60_0.75_8-3,0.24235296249389648,0.0,100,100.0,0,621,integer optimal solution
60_0.75_8-4,0.11181092262268066,0.0,122,122.0,0,521,integer optimal solution
90_0.25_2-0,0.1348278522491455,0.0,385,385.0,0,967,integer optimal solution
90_0.25_2-1,30.140953063964844,0.0,368,368.0,221643,2192728,integer optimal solution
90_0.25_2-2,0.7052059173583984,0.0,370,370.0,2579,30393,integer optimal solution
90_0.25_2-3,0.14979314804077148,0.0,455,455.0,0,1152,integer optimal solution
90_0.25_2-4,0.11918902397155762,0.0,429,429.0,0,1093,integer optimal solution
