,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.0171511173248291,0.0,505,505.0,0,103,integer optimal solution
30_0.25_2-1,0.06689119338989258,0.0,467,467.0,391,3699,integer optimal solution
30_0.25_2-2,0.02654719352722168,0.0,488,488.0,0,149,integer optimal solution
30_0.25_2-3,0.026777982711791992,0.0,470,470.0,0,99,integer optimal solution
30_0.25_2-4,0.05542707443237305,0.0,438,438.0,0,227,integer optimal solution
30_0.25_4-0,0.051065921783447266,0.0,533,533.0,0,228,integer optimal solution
30_0.25_4-1,0.028592824935913086,0.0,488,488.0,0,149,integer optimal solution
30_0.25_4-2,0.026562929153442383,0.0,528,528.0,0,109,integer optimal solution
30_0.25_4-3,0.025317907333374023,0.0,497,497.0,0,135,integer optimal solution
30_0.25_4-4,0.019570112228393555,0.0,504,504.0,0,74,integer optimal solution
30_0.25_8-0,0.011471986770629883,0.0,536,536.0,0,76,integer optimal solution
30_0.25_8-1,0.012863874435424805,0.0,526,526.0,0,82,integer optimal solution
30_0.25_8-2,,,,,,,
30_0.25_8-3,0.06789994239807129,0.0,524,524.0,464,3624,integer optimal solution
30_0.25_8-4,0.04570889472961426,0.0,526,526.0,319,1807,integer optimal solution
30_0.5_2-0,0.02311110496520996,0.0,403,403.0,0,214,integer optimal solution
30_0.5_2-1,0.08170008659362793,0.0,365,365.0,0,318,integer optimal solution
30_0.5_2-2,0.026105165481567383,0.0,396,396.0,0,287,integer optimal solution
30_0.5_2-3,0.0327610969543457,0.0,366,366.0,0,137,integer optimal solution
30_0.5_2-4,0.025786876678466797,0.0,394,394.0,0,161,integer optimal solution
30_0.5_4-0,0.04304695129394531,0.0,324,324.0,0,235,integer optimal solution
30_0.5_4-1,0.025274991989135742,0.0,336,336.0,0,139,integer optimal solution
30_0.5_4-2,0.10289788246154785,0.0,399,399.0,1402,6615,integer optimal solution
30_0.5_4-3,0.02439403533935547,0.0,350,350.0,0,172,integer optimal solution
30_0.5_4-4,0.10490012168884277,0.0,450,450.0,500,3588,integer optimal solution
30_0.5_8-0,0.0918879508972168,0.0,308,308.0,0,474,integer optimal solution
30_0.5_8-1,0.022558927536010742,0.0,413,413.0,0,127,integer optimal solution
30_0.5_8-2,0.15111517906188965,0.0,366,366.0,1911,11812,integer optimal solution
30_0.5_8-3,0.027118921279907227,0.0,360,360.0,0,168,integer optimal solution
30_0.5_8-4,0.05681896209716797,0.0,414,414.0,0,176,integer optimal solution
30_0.75_2-0,0.09090805053710938,0.0,303,303.0,0,259,integer optimal solution
30_0.75_2-1,0.034586191177368164,0.0,321,321.0,0,284,integer optimal solution
30_0.75_2-2,0.1457810401916504,0.0,305,305.0,811,5074,integer optimal solution
30_0.75_2-3,0.036425113677978516,0.0,337,337.0,0,255,integer optimal solution
30_0.75_2-4,0.029189109802246094,0.0,243,243.0,0,206,integer optimal solution
30_0.75_4-0,0.03621077537536621,0.0,269,269.0,0,203,integer optimal solution
30_0.75_4-1,0.21324706077575684,0.0,294,294.0,2873,18554,integer optimal solution
30_0.75_4-2,0.03250002861022949,0.0,366,366.0,0,175,integer optimal solution
30_0.75_4-3,0.051332950592041016,0.0,343,343.0,0,262,integer optimal solution
30_0.75_4-4,0.034512996673583984,0.0,215,215.0,0,119,integer optimal solution
30_0.75_8-0,0.023914098739624023,0.0,341,341.0,0,109,integer optimal solution
30_0.75_8-1,0.024501800537109375,0.0,408,408.0,0,280,integer optimal solution
30_0.75_8-2,0.022897005081176758,0.0,287,287.0,0,157,integer optimal solution
30_0.75_8-3,0.08352994918823242,0.0,229,229.0,0,180,integer optimal solution
30_0.75_8-4,0.0384221076965332,0.0,275,275.0,0,197,integer optimal solution
60_0.25_2-0,0.057865142822265625,0.0,801,801.0,0,483,integer optimal solution
60_0.25_2-1,0.059558868408203125,0.0,746,746.0,0,517,integer optimal solution
60_0.25_2-2,3.1701529026031494,0.0,709,709.0,26616,213066,integer optimal solution
60_0.25_2-3,0.05547595024108887,0.0,830,830.0,0,389,integer optimal solution
60_0.25_2-4,0.04641294479370117,0.0,827,827.0,0,468,integer optimal solution
60_0.25_4-0,1.6357529163360596,0.0,669,669.0,7824,88796,integer optimal solution
60_0.25_4-1,1.0960090160369873,0.0,864,864.0,3332,46199,integer optimal solution
60_0.25_4-2,0.23613214492797852,0.0,805,805.0,1074,6794,integer optimal solution
60_0.25_4-3,0.136077880859375,0.0,659,659.0,0,631,integer optimal solution
60_0.25_4-4,0.07230305671691895,0.0,818,818.0,0,451,integer optimal solution
60_0.25_8-0,0.14536213874816895,0.0,748,748.0,0,659,integer optimal solution
60_0.25_8-1,0.06635093688964844,0.0,756,756.0,0,357,integer optimal solution
60_0.25_8-2,0.2660219669342041,0.0,674,674.0,0,978,integer optimal solution
60_0.25_8-3,0.037641048431396484,0.0,643,643.0,0,267,integer optimal solution
60_0.25_8-4,0.15976715087890625,0.0,730,730.0,0,691,integer optimal solution
60_0.5_2-0,0.13895392417907715,0.0,590,590.0,0,590,integer optimal solution
60_0.5_2-1,0.10191082954406738,0.0,410,410.0,0,640,integer optimal solution
60_0.5_2-2,0.1900339126586914,0.0,515,515.0,0,889,integer optimal solution
60_0.5_2-3,0.7062489986419678,0.0,503,503.0,2165,20658,integer optimal solution
60_0.5_2-4,0.18304896354675293,0.0,483,483.0,0,1299,integer optimal solution
60_0.5_4-0,0.3916440010070801,0.0,533,533.0,767,6505,integer optimal solution
60_0.5_4-1,0.17431211471557617,0.0,546,546.0,0,620,integer optimal solution
60_0.5_4-2,0.10681319236755371,0.0,456,456.0,0,479,integer optimal solution
60_0.5_4-3,0.11933016777038574,0.0,555,555.0,0,573,integer optimal solution
60_0.5_4-4,0.06488609313964844,0.0,488,488.0,0,463,integer optimal solution
60_0.5_8-0,0.10874509811401367,0.0,519,519.0,0,728,integer optimal solution
60_0.5_8-1,0.1229400634765625,0.0,494,494.0,0,971,integer optimal solution
60_0.5_8-2,0.19945192337036133,0.0,547,547.0,0,1011,integer optimal solution
60_0.5_8-3,0.09277200698852539,0.0,518,518.0,0,641,integer optimal solution
60_0.5_8-4,0.08102202415466309,0.0,435,435.0,0,653,integer optimal solution
60_0.75_2-0,0.17948508262634277,0.0,329,329.0,0,1019,integer optimal solution
60_0.75_2-1,0.7949249744415283,0.0,362,362.0,455,6778,integer optimal solution
60_0.75_2-2,1.6110470294952393,0.0,349,349.0,5080,43058,integer optimal solution
60_0.75_2-3,0.17839694023132324,0.0,289,289.0,0,1036,integer optimal solution
60_0.75_2-4,0.43204283714294434,0.0,379,379.0,1769,13450,integer optimal solution
60_0.75_4-0,0.629641056060791,0.0,401,401.0,884,7474,integer optimal solution
60_0.75_4-1,0.17995285987854004,0.0,392,392.0,0,895,integer optimal solution
60_0.75_4-2,0.35471487045288086,0.0,404,404.0,0,526,integer optimal solution
60_0.75_4-3,0.16708111763000488,0.0,428,428.0,0,862,integer optimal solution
60_0.75_4-4,0.24607086181640625,0.0,421,421.0,0,857,integer optimal solution
60_0.75_8-0,0.17377710342407227,0.0,324,324.0,0,776,integer optimal solution
60_0.75_8-1,0.33455395698547363,0.0,415,415.0,694,7924,integer optimal solution
60_0.75_8-2,0.16716694831848145,0.0,389,389.0,0,768,integer optimal solution
60_0.75_8-3,0.14154291152954102,0.0,347,347.0,0,486,integer optimal solution
60_0.75_8-4,0.11545085906982422,0.0,374,374.0,0,510,integer optimal solution
90_0.25_2-0,1.3343970775604248,0.0,832,832.0,4388,55000,integer optimal solution
90_0.25_2-1,0.47203493118286133,0.0,890,890.0,0,2132,integer optimal solution
90_0.25_2-2,1.1279430389404297,0.0,912,912.0,5866,49129,integer optimal solution
90_0.25_2-3,1.762606143951416,0.0,899,899.0,6453,58909,integer optimal solution
90_0.25_2-4,0.2507641315460205,0.0,965,965.0,0,1189,integer optimal solution
90_0.25_4-0,0.3585519790649414,0.0,867,867.0,0,1424,integer optimal solution
90_0.25_4-1,0.6661009788513184,0.0,862,862.0,123,2871,integer optimal solution
90_0.25_4-2,0.11566901206970215,0.0,863,863.0,0,999,integer optimal solution
90_0.25_4-3,0.13715696334838867,0.0,916,916.0,0,949,integer optimal solution
90_0.25_4-4,0.12289905548095703,0.0,943,943.0,0,1104,integer optimal solution
90_0.25_8-0,0.23895502090454102,0.0,887,887.0,0,1347,integer optimal solution
90_0.25_8-1,0.3110032081604004,0.0,880,880.0,0,1146,integer optimal solution
90_0.25_8-2,0.10728311538696289,0.0,899,899.0,0,841,integer optimal solution
90_0.25_8-3,0.1609029769897461,0.0,848,848.0,0,851,integer optimal solution
90_0.25_8-4,0.23357391357421875,0.0,871,871.0,0,927,integer optimal solution
90_0.5_2-0,0.20888590812683105,0.0,629,629.0,0,1625,integer optimal solution
90_0.5_2-1,0.6107180118560791,0.0,506,506.0,0,1539,integer optimal solution
90_0.5_2-2,0.5493440628051758,0.0,622,622.0,897,7708,integer optimal solution
90_0.5_2-3,0.2445390224456787,0.0,593,593.0,0,1185,integer optimal solution
90_0.5_2-4,0.5448429584503174,0.0,636,636.0,0,1947,integer optimal solution
90_0.5_4-0,3.0333569049835205,0.0,559,559.0,6759,70419,integer optimal solution
90_0.5_4-1,0.5466618537902832,0.0,559,559.0,290,4917,integer optimal solution
90_0.5_4-2,0.6487228870391846,0.0,576,576.0,0,2126,integer optimal solution
90_0.5_4-3,1.270805835723877,0.0,533,533.0,8469,66058,integer optimal solution
90_0.5_4-4,0.2807321548461914,0.0,510,510.0,0,1328,integer optimal solution
90_0.5_8-0,0.1658310890197754,0.0,541,541.0,0,1011,integer optimal solution
90_0.5_8-1,4.131705045700073,0.0,566,566.0,25184,226583,integer optimal solution
90_0.5_8-2,0.37262415885925293,0.0,633,633.0,0,981,integer optimal solution
90_0.5_8-3,0.3732180595397949,0.0,680,680.0,0,1327,integer optimal solution
90_0.5_8-4,0.20263385772705078,0.0,619,619.0,0,1144,integer optimal solution
90_0.75_2-0,0.8832399845123291,0.0,416,416.0,149,3695,integer optimal solution
90_0.75_2-1,0.5948600769042969,0.0,436,436.0,0,1674,integer optimal solution
90_0.75_2-2,0.8583700656890869,0.0,385,385.0,773,9063,integer optimal solution
90_0.75_2-3,0.4362161159515381,0.0,387,387.0,0,1595,integer optimal solution
90_0.75_2-4,1.119136095046997,0.0,399,399.0,1459,14963,integer optimal solution
90_0.75_4-0,0.27584099769592285,0.0,388,388.0,0,1576,integer optimal solution
90_0.75_4-1,0.24626708030700684,0.0,481,481.0,0,1393,integer optimal solution
90_0.75_4-2,0.29079484939575195,0.0,452,452.0,0,1666,integer optimal solution
90_0.75_4-3,1.9612689018249512,0.0,298,298.0,9140,71416,integer optimal solution
90_0.75_4-4,0.6685121059417725,0.0,458,458.0,0,1872,integer optimal solution
90_0.75_8-0,0.29477810859680176,0.0,451,451.0,0,1248,integer optimal solution
90_0.75_8-1,0.43314290046691895,0.0,370,370.0,0,1648,integer optimal solution
90_0.75_8-2,0.8553280830383301,0.0,358,358.0,78,2457,integer optimal solution
90_0.75_8-3,0.37264490127563477,0.0,476,476.0,0,1348,integer optimal solution
90_0.75_8-4,1.067077875137329,0.0,390,390.0,0,1922,integer optimal solution
