,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.03646492958068848,0.0,406,406.0,0,134,integer optimal solution
30_0.25_2-1,0.047389984130859375,0.0,392,392.0,0,180,integer optimal solution
30_0.25_2-2,0.024113893508911133,0.0,478,478.0,0,179,integer optimal solution
30_0.25_2-3,0.03175997734069824,0.0,454,454.0,0,289,integer optimal solution
30_0.25_2-4,0.014417886734008789,0.0,450,450.0,0,109,integer optimal solution
30_0.25_4-0,0.01663804054260254,0.0,397,397.0,0,70,integer optimal solution
30_0.25_4-1,0.014815092086791992,0.0,443,443.0,0,66,integer optimal solution
30_0.25_4-2,0.046549081802368164,0.0,421,421.0,0,175,integer optimal solution
30_0.25_4-3,0.03350520133972168,0.0,390,390.0,0,212,integer optimal solution
30_0.25_4-4,0.019934892654418945,0.0,476,476.0,0,92,integer optimal solution
30_0.25_8-0,0.028262853622436523,0.0,502,502.0,0,105,integer optimal solution
30_0.25_8-1,0.010896921157836914,0.0,445,445.0,0,65,integer optimal solution
30_0.25_8-2,0.013172149658203125,0.0,412,412.0,0,50,integer optimal solution
30_0.25_8-3,0.025472164154052734,0.0,353,353.0,0,111,integer optimal solution
30_0.25_8-4,0.015102863311767578,0.0,414,414.0,0,50,integer optimal solution
30_0.5_2-0,0.04072403907775879,0.0,284,284.0,0,127,integer optimal solution
30_0.5_2-1,0.03635811805725098,0.0,259,259.0,0,148,integer optimal solution
30_0.5_2-2,0.051663875579833984,0.0,339,339.0,0,169,integer optimal solution
30_0.5_2-3,0.021203041076660156,0.0,241,241.0,0,127,integer optimal solution
30_0.5_2-4,0.06787300109863281,0.0,260,260.0,0,171,integer optimal solution
30_0.5_4-0,0.0347898006439209,0.0,340,340.0,0,91,integer optimal solution
30_0.5_4-1,0.040242910385131836,0.0,322,322.0,0,174,integer optimal solution
30_0.5_4-2,0.042076826095581055,0.0,293,293.0,0,142,integer optimal solution
30_0.5_4-3,0.04282188415527344,0.0,259,259.0,0,131,integer optimal solution
30_0.5_4-4,0.021385908126831055,0.0,268,268.0,0,97,integer optimal solution
30_0.5_8-0,0.020486831665039062,0.0,268,268.0,0,72,integer optimal solution
30_0.5_8-1,0.03726506233215332,0.0,203,203.0,0,86,integer optimal solution
30_0.5_8-2,0.03471183776855469,0.0,287,287.0,0,73,integer optimal solution
30_0.5_8-3,0.038378000259399414,0.0,322,322.0,0,84,integer optimal solution
30_0.5_8-4,0.018260955810546875,0.0,296,296.0,0,57,integer optimal solution
30_0.75_2-0,0.06638097763061523,0.0,165,165.0,0,295,integer optimal solution
30_0.75_2-1,0.05714702606201172,0.0,160,160.0,0,146,integer optimal solution
30_0.75_2-2,0.08616304397583008,0.0,201,201.0,0,374,integer optimal solution
30_0.75_2-3,0.25069689750671387,0.0,208,208.0,2332,13421,integer optimal solution
30_0.75_2-4,0.24860286712646484,0.0,232,232.0,1810,10882,integer optimal solution
30_0.75_4-0,0.027741193771362305,0.0,243,243.0,0,114,integer optimal solution
30_0.75_4-1,0.030884981155395508,0.0,194,194.0,0,114,integer optimal solution
30_0.75_4-2,0.029926061630249023,0.0,238,238.0,0,151,integer optimal solution
30_0.75_4-3,0.02653193473815918,0.0,314,314.0,0,111,integer optimal solution
30_0.75_4-4,0.02512812614440918,0.0,215,215.0,0,134,integer optimal solution
30_0.75_8-0,0.04192709922790527,0.0,242,242.0,0,113,integer optimal solution
30_0.75_8-1,0.10922503471374512,0.0,252,252.0,0,263,integer optimal solution
30_0.75_8-2,0.05638599395751953,0.0,177,177.0,0,154,integer optimal solution
30_0.75_8-3,0.10901093482971191,0.0,184,184.0,0,199,integer optimal solution
