,time,gap,best_int_solution,best_upper_bound,number_nodes,number_iterat,status
30_0.25_2-0,0.11234712600708008,0.0,568,568.0,0,617,integer optimal solution
30_0.25_2-1,,,,,,,
30_0.25_2-2,0.1265089511871338,0.0,629,629.0,0,555,integer optimal solution
30_0.25_2-3,0.03222393989562988,0.0,551,551.0,0,196,integer optimal solution
30_0.25_2-4,0.027531147003173828,0.0,585,585.0,0,234,integer optimal solution
30_0.25_4-0,0.044754981994628906,0.0,464,464.0,0,194,integer optimal solution
30_0.25_4-1,,,,,,,
30_0.25_4-2,,,,,,,
30_0.25_4-3,0.032148122787475586,0.0,499,499.0,0,240,integer optimal solution
30_0.25_4-4,,,,,,,
30_0.25_8-0,,,,,,,
30_0.25_8-1,0.01964592933654785,0.0,523,523.0,0,70,integer optimal solution
30_0.25_8-2,0.01710796356201172,0.0,513,513.0,0,65,integer optimal solution
30_0.25_8-3,0.02416515350341797,0.0,525,525.0,0,80,integer optimal solution
30_0.25_8-4,,,,,,,
30_0.5_2-0,0.10412812232971191,0.0,571,571.0,0,680,integer optimal solution
30_0.5_2-1,,,,,,,
30_0.5_2-2,0.19111013412475586,0.0,561,561.0,326,3720,integer optimal solution
30_0.5_2-3,,,,,,,
30_0.5_2-4,,,,,,,
30_0.5_4-0,,,,,,,
30_0.5_4-1,,,,,,,
30_0.5_4-2,,,,,,,
30_0.5_4-3,,,,,,,
30_0.5_4-4,,,,,,,
30_0.5_8-0,0.029342174530029297,0.0,470,470.0,0,144,integer optimal solution
30_0.5_8-1,,,,,,,
30_0.5_8-2,0.026519060134887695,0.0,370,370.0,0,103,integer optimal solution
30_0.5_8-3,,,,,,,
30_0.5_8-4,,,,,,,
30_0.75_2-0,,,,,,,
30_0.75_2-1,,,,,,,
30_0.75_2-2,,,,,,,
30_0.75_2-3,,,,,,,
30_0.75_2-4,,,,,,,
30_0.75_4-0,,,,,,,
30_0.75_4-1,,,,,,,
30_0.75_4-2,,,,,,,
30_0.75_4-3,,,,,,,
30_0.75_4-4,,,,,,,
30_0.75_8-0,,,,,,,
30_0.75_8-1,,,,,,,
30_0.75_8-2,,,,,,,
30_0.75_8-3,,,,,,,
30_0.75_8-4,,,,,,,
60_0.25_2-0,,,,,,,
60_0.25_2-1,0.2442159652709961,0.0,1085,1085.0,0,1258,integer optimal solution
